time/time_elapsed,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/n_updates
172,5032,0.0008459126528049375,-164.08209228515625,-124.66808319091797,4,-4.41440725,29,1258.0,0.018056495115160942,1.1887221336364746,4931
348,10064,0.0008459126528049375,19.72208023071289,-131.55860900878906,8,-3.38798525,28,1258.0,0.0013432179111987352,1.8842848539352417,9963
524,15096,0.0008459126528049375,-11.388043403625488,-137.06280517578125,12,-2.7694619166666663,28,1258.0,0.0013000613544136286,2.671847343444824,14995
702,20128,0.0008459126528049375,-5.12021541595459,-140.8135986328125,16,-2.4669546875,28,1258.0,0.000682489131577313,3.5016403198242188,20027
5,25160,0.0008459126528049375,5.433414459228516,-144.6372833251953,20,-2.23291405,27,1258.0,0.0006406710599549115,3.1851725578308105,25059
187,30192,0.0008459126528049375,18.244285583496094,-148.123779296875,24,-2.0740560416666667,27,1258.0,0.000869937997777015,4.093954563140869,30091
369,35224,0.0008459126528049375,25.66849136352539,-147.41738891601562,28,-1.974437107142857,27,1258.0,0.0007004856015555561,3.8605072498321533,35123
552,40256,0.0008459126528049375,-22.667570114135742,-145.4915008544922,32,-1.9190208437499998,27,1258.0,0.00018880826246459037,5.379448890686035,40155
733,45288,0.0008459126528049375,-38.424903869628906,-142.77725219726562,36,-1.8749875833333332,27,1258.0,0.0007843323983252048,6.888265609741211,45187
11,50320,0.0008459126528049375,7.064967632293701,-134.95132446289062,40,-1.8433636,28,1258.0,0.0007914200541563332,14.009224891662598,50219
190,55352,0.0008459126528049375,6.035865783691406,-128.63584899902344,44,-1.8202327045454545,28,1258.0,0.0011521157575771213,8.400588035583496,55251
370,60384,0.0008459126528049375,11.720409393310547,-118.37470245361328,48,-1.779586145833333,28,1258.0,0.002729484112933278,28.631061553955078,60283
550,65416,0.0008459126528049375,44.71650695800781,-107.0064697265625,52,-1.755586019230769,27,1258.0,0.0013867784291505814,17.32982635498047,65315
732,70448,0.0008459126528049375,-6.247897148132324,-90.7115478515625,56,-1.7557390357142855,27,1258.0,0.0007456008461304009,6.189903259277344,70347
17,75480,0.0008459126528049375,-2.0728206634521484,-71.89225006103516,60,-1.7632071666666667,26,1258.0,0.0005453720223158598,3.130680561065674,75379
193,80512,0.0008459126528049375,-28.936573028564453,-62.16987609863281,64,-1.773245328125,28,1258.0,0.0007190917385742068,7.20594596862793,80411
370,85544,0.0008459126528049375,32.188873291015625,-50.70785140991211,68,-1.774278411764706,28,1258.0,0.0012993852142244577,16.683008193969727,85443
544,90576,0.0008459126528049375,-53.62388610839844,-43.344940185546875,72,-1.7721826527777778,28,1258.0,0.0013336733682081103,6.106218338012695,90475
716,95608,0.0008459126528049375,47.89104461669922,-39.0780143737793,76,-1.7598518684210525,28,1258.0,0.0005568075575865805,1.7558836936950684,95507
