time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss
5032,0.017472779378294945,0.0008459126528049375,0.7002753019332886,4931,1258.0,115,43,4,-121.65595245361328,-4.55029075,-177.406982421875
10064,0.0009527534712105989,0.0008459126528049375,2.0293188095092773,9963,1258.0,235,42,8,-128.91966247558594,-3.5498902500000002,-13.913324356079102
15096,0.0010419214377179742,0.0008459126528049375,1.6500271558761597,14995,1258.0,389,38,12,-131.54672241210938,-2.92261525,-4.014167308807373
20128,0.0011012211907655,0.0008459126528049375,6.1225996017456055,20027,1258.0,545,36,16,-135.25369262695312,-2.528946,47.29345703125
25160,0.0010725456522777677,0.0008459126528049375,3.2007226943969727,25059,1258.0,4,32,20,-136.77182006835938,-2.32234385,-32.71895217895508
30192,0.001006247359327972,0.0008459126528049375,3.6470437049865723,30091,1258.0,160,32,24,-135.2914581298828,-2.2008387083333334,15.297830581665039
35224,0.0005546312313526869,0.0008459126528049375,5.095292091369629,35123,1258.0,314,32,28,-130.69528198242188,-2.11215975,51.98716354370117
40256,0.0006240636575967073,0.0008459126528049375,5.170157432556152,40155,1258.0,467,32,32,-129.85589599609375,-2.00923234375,56.2171516418457
45288,0.0005029778112657368,0.0008459126528049375,23.344324111938477,45187,1258.0,626,32,36,-120.02851104736328,-1.9379261666666663,199.8385467529297
50320,0.0008691315306350589,0.0008459126528049375,19.25448989868164,50219,1258.0,9,32,40,-110.00264739990234,-1.8628363499999998,10.505160331726074
55352,0.001159123843535781,0.0008459126528049375,14.147710800170898,55251,1258.0,166,32,44,-100.70158386230469,-1.7983539318181818,-40.88771057128906
60384,0.001858937437646091,0.0008459126528049375,7.227237701416016,60283,1258.0,324,32,48,-75.98148345947266,-1.7560333125000003,-36.935665130615234
65416,0.0009709432488307357,0.0008459126528049375,3.8720004558563232,65315,1258.0,483,31,52,-68.27940368652344,-1.737069980769231,-31.00113296508789
70448,0.000547938805539161,0.0008459126528049375,12.201896667480469,70347,1258.0,643,31,56,-69.56478881835938,-1.7110940357142859,-15.230669975280762
75480,0.0004967888235114515,0.0008459126528049375,5.070627212524414,75379,1258.0,15,30,60,-66.3508071899414,-1.6844515833333336,41.890323638916016
80512,0.0005680785397998989,0.0008459126528049375,2.1619975566864014,80411,1258.0,187,29,64,-62.15879440307617,-1.6563066718750001,-36.622093200683594
85544,0.0006132691632956266,0.0008459126528049375,5.8152360916137695,85443,1258.0,349,30,68,-52.21931838989258,-1.6349477500000003,-32.48243713378906
90576,0.0008152165682986379,0.0008459126528049375,12.992951393127441,90475,1258.0,483,32,72,-49.47087860107422,-1.612964875,-34.29128646850586
95608,0.0007006473024375737,0.0008459126528049375,3.4156763553619385,95507,1258.0,618,33,76,-47.7735481262207,-1.5839852236842105,-12.763776779174805
