time/fps,train/n_updates,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/actor_loss
12,4931,0.017264407128095627,1.0740375518798828,1258.0,5032,4,417,-4.93466875,0.0008459126528049375,-167.04171752929688,-121.19873046875
11,9963,0.0011538310209289193,2.103060245513916,1258.0,10064,8,862,-3.949209,0.0008459126528049375,11.324997901916504,-124.7860336303711
11,14995,0.0008136398973874748,2.4323315620422363,1258.0,15096,12,1310,-3.287073083333334,0.0008459126528049375,-24.53990364074707,-128.6663818359375
11,20027,0.0009842606959864497,2.669545888900757,1258.0,20128,16,1759,-2.84942975,0.0008459126528049375,4.15536642074585,-131.70669555664062
11,25059,0.0007885797531343997,3.4198710918426514,1258.0,25160,20,14,-2.62940025,0.0008459126528049375,38.519142150878906,-136.00387573242188
11,30091,0.0004940454382449389,16.374103546142578,1258.0,30192,24,465,-2.4997571666666665,0.0008459126528049375,53.81163024902344,-135.76507568359375
11,35123,0.0009766011498868465,3.537264347076416,1258.0,35224,28,917,-2.377372964285714,0.0008459126528049375,24.39696502685547,-139.607421875
11,40155,0.0007700801943428814,25.647321701049805,1258.0,40256,32,1368,-2.3290643749999997,0.0008459126528049375,-6.826348304748535,-137.06692504882812
11,45187,0.0007680862909182906,8.044021606445312,1258.0,45288,36,1818,-2.265177361111111,0.0008459126528049375,-46.750091552734375,-131.90538024902344
11,50219,0.0004687823820859194,43.040260314941406,1258.0,50320,40,28,-2.226676275,0.0008459126528049375,67.99401092529297,-135.57888793945312
11,55251,0.000662260630633682,11.292308807373047,1258.0,55352,44,478,-2.1654482954545453,0.0008459126528049375,4.900650501251221,-134.20115661621094
11,60283,0.0012021136935800314,7.051571369171143,1258.0,60384,48,921,-2.1172747708333333,0.0008459126528049375,56.47372817993164,-133.2773895263672
11,65315,0.000533106445800513,12.12074089050293,1258.0,65416,52,1363,-2.099582096153846,0.0008459126528049375,-43.869380950927734,-125.85665893554688
11,70347,0.0013306395849213004,6.003787994384766,1258.0,70448,56,1819,-2.1114717678571426,0.0008459126528049375,-62.35771179199219,-118.4677505493164
10,75379,0.0005472009070217609,13.519098281860352,1258.0,75480,60,44,-2.0977217166666664,0.0008459126528049375,31.416601181030273,-114.84999084472656
10,80411,0.000918910838663578,14.360573768615723,1258.0,80512,64,517,-2.0716914218749998,0.0008459126528049375,40.32390594482422,-105.13410186767578
10,85443,0.0018678815104067326,3.5263421535491943,1258.0,85544,68,1008,-2.0627346911764706,0.0008459126528049375,-5.98706579208374,-93.7674789428711
10,90475,0.00033891803468577564,5.158605575561523,1258.0,90576,72,1476,-2.066358055555556,0.0008459126528049375,76.3045883178711,-90.52354431152344
10,95507,0.0009536275174468756,8.319150924682617,1258.0,95608,76,1946,-2.054001986842105,0.0008459126528049375,-5.658646106719971,-73.49839782714844
