time/total_timesteps,time/episodes,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/fps,train/n_updates,time/time_elapsed,train/actor_loss
5028,4,1257.0,6.806815147399902,-162.3878936767578,-4.358791,0.01774277538061142,0.0008459126528049375,12,4927,408,-124.22859191894531
10056,8,1257.0,1.0825538635253906,-72.62565612792969,-3.516609125,0.001288830186240375,0.0008459126528049375,12,9955,803,-130.95742797851562
15084,12,1257.0,3.934373378753662,111.00444793701172,-3.031030166666666,0.0005369659629650414,0.0008459126528049375,12,14983,1196,-133.38966369628906
20112,16,1257.0,108.19380187988281,53.6744384765625,-2.678103625,0.0008983641746453941,0.0008459126528049375,12,20011,1591,-136.58761596679688
25140,20,1257.0,6.583528995513916,-46.7003288269043,-2.5654650499999994,0.0005437768413685262,0.0008459126528049375,12,25039,11,-142.44920349121094
30168,24,1257.0,4.080850601196289,16.043479919433594,-2.3955527083333332,0.00028014840791001916,0.0008459126528049375,12,30067,417,-145.3338623046875
35196,28,1257.0,5.481647491455078,-84.94170379638672,-2.258819642857143,0.0005877258372493088,0.0008459126528049375,12,35095,813,-142.1024627685547
40224,32,1257.0,5.816186904907227,-44.69522476196289,-2.185073,0.0005247708177193999,0.0008459126528049375,12,40123,1219,-142.32925415039062
45252,36,1257.0,7.284275054931641,165.00668334960938,-2.1407293055555554,0.00039921337156556547,0.0008459126528049375,12,45151,1629,-135.28797912597656
50280,40,1257.0,2.150752305984497,10.170014381408691,-2.06738235,0.0002394740004092455,0.0008459126528049375,13,50179,21,-125.20661926269531
55308,44,1257.0,3.344839572906494,48.30155944824219,-2.011394954545455,0.0009116259170696139,0.0008459126528049375,12,55207,424,-121.8026351928711
60336,48,1257.0,2.5310215950012207,-0.5057715773582458,-2.0005477291666667,0.00032385383383370936,0.0008459126528049375,12,60235,806,-113.85918426513672
65364,52,1257.0,25.490764617919922,54.579219818115234,-1.9656091346153846,0.00047312775859609246,0.0008459126528049375,12,65263,1191,-109.22354125976562
70392,56,1257.0,14.460591316223145,35.064273834228516,-1.9437401964285712,0.0005323390359990299,0.0008459126528049375,12,70291,1599,-107.26001739501953
75420,60,1257.0,29.173580169677734,18.691131591796875,-1.909990883333333,0.0006970297545194626,0.0008459126528049375,11,75319,35,-104.90182495117188
80448,64,1257.0,2.5760092735290527,30.042131423950195,-1.8915415625,0.0003943090559914708,0.0008459126528049375,12,80347,453,-100.458251953125
85476,68,1257.0,1.7015807628631592,101.67412567138672,-1.8869686764705884,0.0005542058497667313,0.0008459126528049375,12,85375,867,-100.19589233398438
90504,72,1257.0,1.5169785022735596,35.06272506713867,-1.8700097638888888,0.00044004779192619026,0.0008459126528049375,12,90403,1277,-85.17302703857422
