time/episodes,train/critic_loss,time/total_timesteps,train/n_updates,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,time/fps,train/learning_rate,rollout/ep_rew_mean
4,1.9500341415405273,5028,4927,434,-122.86052703857422,-166.48193359375,0.017196213826537132,1257.0,11,0.0008459126528049375,-4.77103925
8,62.664222717285156,10056,9955,876,-128.12738037109375,35.89765930175781,0.001389543293043971,1257.0,11,0.0008459126528049375,-3.715961875
12,1.6335442066192627,15084,14983,1317,-134.4018096923828,16.313209533691406,0.0008941490668803453,1257.0,11,0.0008459126528049375,-3.072054083333334
16,4.030750751495361,20112,20011,1755,-136.4668731689453,5.886805534362793,0.0008153841481544077,1257.0,11,0.0008459126528049375,-2.69638625
20,56.274261474609375,25140,25039,12,-139.2763214111328,148.7002716064453,0.0010673152282834053,1257.0,11,0.0008459126528049375,-2.48102735
24,6.052628517150879,30168,30067,464,-144.52618408203125,28.158933639526367,0.0009732497856020927,1257.0,11,0.0008459126528049375,-2.3529721666666665
28,3.542224407196045,35196,35095,922,-144.9783172607422,-69.2938232421875,0.0009068027138710022,1257.0,11,0.0008459126528049375,-2.241057285714285
32,52.28731918334961,40224,40123,1375,-144.6536865234375,-41.46819305419922,0.0009271735325455666,1257.0,11,0.0008459126528049375,-2.17739953125
36,5.505456924438477,45252,45151,1810,-140.63217163085938,12.435352325439453,0.000699724827427417,1257.0,11,0.0008459126528049375,-2.1110945
40,9.341114044189453,50280,50179,24,-115.63521575927734,-14.236823081970215,0.0005859067314304411,1257.0,11,0.0008459126528049375,-2.07057395
44,7.173201560974121,55308,55207,460,-102.71314239501953,65.95652770996094,0.001324800425209105,1257.0,11,0.0008459126528049375,-2.0236931363636366
48,4.12758731842041,60336,60235,895,-82.74301147460938,27.67684555053711,0.0022637401707470417,1257.0,11,0.0008459126528049375,-1.9789565833333336
52,12.349262237548828,65364,65263,1330,-65.650146484375,19.594741821289062,0.0007844992214813828,1257.0,11,0.0008459126528049375,-1.9635115192307695
56,15.741268157958984,70392,70291,1769,-64.56802368164062,-30.46097183227539,0.0007677501416765153,1257.0,11,0.0008459126528049375,-1.92332625
