time/episodes,rollout/ep_len_mean,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/ent_coef,time/time_elapsed,train/critic_loss,time/fps,train/learning_rate,train/n_updates
4,1258.0,-176.61868286132812,-4.643153,5032,-123.67633056640625,0.01748248003423214,124,0.6870704889297485,40,0.0008459126528049375,4931
8,1258.0,-69.33462524414062,-3.5420435,10064,-132.50743103027344,0.0011589984642341733,251,1.9790494441986084,39,0.0008459126528049375,9963
12,1258.0,-41.552215576171875,-3.0292160000000004,15096,-136.51739501953125,0.0013183292467147112,380,1.0474185943603516,39,0.0008459126528049375,14995
16,1258.0,-32.62981414794922,-2.8226920625,20128,-138.73159790039062,0.0010441710473969579,511,1.6382365226745605,39,0.0008459126528049375,20027
20,1258.0,-10.227385520935059,-2.60607395,25160,-144.9277801513672,0.0009234474273398519,4,2.6511974334716797,38,0.0008459126528049375,25059
24,1258.0,87.605712890625,-2.4871047083333333,30192,-146.2084503173828,0.0008565501193515956,135,1.6818791627883911,38,0.0008459126528049375,30091
28,1258.0,-89.44458770751953,-2.4401529642857143,35224,-148.29708862304688,0.000771678111050278,284,1.743415117263794,35,0.0008459126528049375,35123
32,1258.0,44.2448844909668,-2.34793084375,40256,-147.86790466308594,0.0010414117714390159,441,3.232992649078369,34,0.0008459126528049375,40155
36,1258.0,63.22606658935547,-2.28622075,45288,-150.7183380126953,0.0008597004343755543,599,5.5635881423950195,33,0.0008459126528049375,45187
40,1258.0,-88.83392333984375,-2.2565206,50320,-147.88279724121094,0.0008758187759667635,10,63.36689758300781,31,0.0008459126528049375,50219
44,1258.0,7.262999057769775,-2.2561978863636365,55352,-151.0637969970703,0.001084989751689136,166,65.24969482421875,32,0.0008459126528049375,55251
48,1258.0,-0.3929974436759949,-2.256118625,60384,-154.64707946777344,0.001450329553335905,323,4.19735050201416,32,0.0008459126528049375,60283
52,1258.0,-39.42637634277344,-2.2616572692307693,65416,-154.85052490234375,0.0013641876867040992,465,6.496834754943848,33,0.0008459126528049375,65315
56,1258.0,29.776077270507812,-2.2477633928571428,70448,-154.1520233154297,0.0016230610199272633,599,21.19878578186035,34,0.0008459126528049375,70347
60,1258.0,-16.393299102783203,-2.2320048166666666,75480,-154.03302001953125,0.0014791421126574278,15,4.197536945343018,30,0.0008459126528049375,75379
64,1258.0,-46.987403869628906,-2.2363409375,80512,-159.58529663085938,0.0022522732615470886,184,5.374317169189453,29,0.0008459126528049375,80411
68,1258.0,18.321212768554688,-2.2576039558823533,85544,-158.81442260742188,0.0010258222464472055,350,3.4901528358459473,30,0.0008459126528049375,85443
72,1258.0,5.117595195770264,-2.276673125,90576,-156.96693420410156,0.0010505891405045986,494,6.503684997558594,31,0.0008459126528049375,90475
76,1258.0,40.39011764526367,-2.277467197368421,95608,-158.53564453125,0.0012160339392721653,658,5.0315141677856445,31,0.0008459126528049375,95507
