time/episodes,rollout/ep_len_mean,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/ent_coef,time/time_elapsed,train/critic_loss,time/fps,train/learning_rate,train/n_updates
4,1258.0,-155.44146728515625,-4.948509250000001,5032,-122.18182373046875,0.017491929233074188,149,1.8782376050949097,33,0.0008459126528049375,4931
8,1258.0,113.24655151367188,-3.7700067500000003,10064,-127.88833618164062,0.0011432943865656853,290,0.8165945410728455,34,0.0008459126528049375,9963
12,1258.0,-2.2175633907318115,-3.2657389999999995,15096,-130.9619598388672,0.0009307193686254323,427,2.0374722480773926,35,0.0008459126528049375,14995
16,1258.0,-49.667049407958984,-2.95018575,20128,-134.15208435058594,0.0008059795363806188,557,1.7348028421401978,36,0.0008459126528049375,20027
20,1258.0,62.21088409423828,-2.7438995999999998,25160,-138.32107543945312,0.001095669693313539,4,63.777732849121094,38,0.0008459126528049375,25059
24,1258.0,-8.832157135009766,-2.6156095,30192,-140.1233367919922,0.000712496810592711,151,1.7021217346191406,34,0.0008459126528049375,30091
28,1258.0,28.01800537109375,-2.487300535714286,35224,-140.4083251953125,0.0008782321820035577,308,1.9961289167404175,33,0.0008459126528049375,35123
32,1258.0,-2.8935325145721436,-2.4065624375000003,40256,-140.38758850097656,0.0008239648304879665,465,6.557916641235352,32,0.0008459126528049375,40155
36,1258.0,-77.6339111328125,-2.3265771388888887,45288,-142.6372528076172,0.0005066585727035999,622,2.8269991874694824,32,0.0008459126528049375,45187
40,1258.0,47.047950744628906,-2.2570351250000003,50320,-140.68685913085938,0.0006614939775317907,8,57.72126770019531,38,0.0008459126528049375,50219
44,1258.0,18.488134384155273,-2.2120787954545458,55352,-145.761962890625,0.001072501647286117,165,3.433279275894165,32,0.0008459126528049375,55251
48,1258.0,-9.113991737365723,-2.1750044791666667,60384,-144.20034790039062,0.0009797392413020134,323,3.4593610763549805,32,0.0008459126528049375,60283
52,1258.0,33.911659240722656,-2.139865115384615,65416,-146.6708984375,0.0008982605068013072,483,3.744399070739746,31,0.0008459126528049375,65315
56,1258.0,-26.024471282958984,-2.0922723750000003,70448,-142.1786651611328,0.0011548411566764116,645,2.7641634941101074,31,0.0008459126528049375,70347
60,1258.0,22.515575408935547,-2.053961266666667,75480,-143.0644073486328,0.0013630095636472106,15,3.408858060836792,30,0.0008459126528049375,75379
64,1258.0,-2.4748575687408447,-2.0164236250000003,80512,-139.20042419433594,0.0007907218532636762,187,53.026153564453125,29,0.0008459126528049375,80411
68,1258.0,82.35514831542969,-2.0013679558823534,85544,-141.18211364746094,0.0007636910886503756,361,3.259247303009033,29,0.0008459126528049375,85443
