train/n_updates,train/critic_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/ent_coef
4791,2.314821720123291,-159.07009887695312,4892,0.0008459126528049375,4,-123.08072662353516,-4.1980682499999995,1223.0,438,11,0.019329577684402466
9683,50.07828140258789,-26.028905868530273,9784,0.0008459126528049375,8,-129.2796630859375,-3.1742602499999997,1223.0,886,11,0.0012575266882777214
14575,50.173484802246094,24.817092895507812,14676,0.0008459126528049375,12,-134.15200805664062,-2.5173749166666664,1223.0,1330,11,0.0008750836132094264
19467,3.4936017990112305,-16.149593353271484,19568,0.0008459126528049375,16,-138.70022583007812,-2.1650648125,1223.0,1775,11,0.0010579604422673583
24359,5.459978103637695,14.23178768157959,24460,0.0008459126528049375,20,-142.08984375,-1.9948995500000002,1223.0,2218,11,0.0005252599949017167
29251,9.33660888671875,35.697898864746094,29352,0.0008459126528049375,24,-142.69314575195312,-1.8960287083333334,1223.0,395,11,0.0008604759350419044
34143,56.46253204345703,72.75112915039062,34244,0.0008459126528049375,28,-143.6425018310547,-1.8092644642857143,1223.0,833,11,0.0008160850848071277
39035,7.006853103637695,10.894269943237305,39136,0.0008459126528049375,32,-126.15215301513672,-1.7557891250000002,1223.0,1269,11,0.0006370374467223883
43927,13.095010757446289,-51.56973648071289,44028,0.0008459126528049375,36,-101.7047348022461,-1.6780679444444446,1223.0,1704,11,0.00186828407458961
48819,7.692594051361084,-36.36224365234375,48920,0.0008459126528049375,40,-90.39905548095703,-1.6435775,1223.0,2162,11,0.0013835103018209338
53711,4.044825553894043,12.299373626708984,53812,0.0008459126528049375,44,-85.47987365722656,-1.6082455000000002,1223.0,359,10,0.0008431703899987042
58603,4.49794864654541,-33.28901672363281,58704,0.0008459126528049375,48,-82.0950698852539,-1.5585707708333334,1223.0,820,10,0.0005819312646053731
63495,11.214162826538086,33.07289123535156,63596,0.0008459126528049375,52,-77.37125396728516,-1.5164505384615385,1223.0,1267,10,0.0009959108429029584
