time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/fps,time/time_elapsed,train/actor_loss,time/episodes
5032,-179.15760803222656,1258.0,2.2388904094696045,4931,-4.01747675,0.017295775935053825,0.0008459126528049375,25,195,-122.84741973876953,4
10064,11.876182556152344,1258.0,4.3673505783081055,9963,-3.234446125,0.0011194396065548062,0.0008459126528049375,25,395,-130.1103515625,8
15096,30.102859497070312,1258.0,25.711944580078125,14995,-2.5121734166666667,0.0010617482475936413,0.0008459126528049375,25,595,-126.0621109008789,12
20128,-25.089025497436523,1258.0,3.550258159637451,20027,-2.1412058125,0.0009553228737786412,0.0008459126528049375,25,795,-122.6933822631836,16
25160,23.44740867614746,1258.0,8.022403717041016,25059,-1.9185460500000002,0.0005752536235377192,0.0008459126528049375,25,6,-107.15480041503906,20
30192,79.11213684082031,1258.0,3.7498559951782227,30091,-1.800691875,0.0009369935723952949,0.0008459126528049375,24,208,-92.23831939697266,24
35224,-33.65206527709961,1258.0,7.507207870483398,35123,-1.7149789642857143,0.0009775334037840366,0.0008459126528049375,24,412,-88.56449890136719,28
40256,-36.05918502807617,1258.0,4.688939571380615,40155,-1.62979634375,0.0009553160634823143,0.0008459126528049375,24,625,-74.01184844970703,32
45288,80.17761993408203,1258.0,81.85870361328125,45187,-1.5750841944444445,0.0005040502874180675,0.0008459126528049375,24,836,-66.25370788574219,36
50320,4.154353141784668,1258.0,1.5846965312957764,50219,-1.530216375,0.000697455951012671,0.0008459126528049375,24,12,-66.54528045654297,40
55352,-6.930649757385254,1258.0,13.19937801361084,55251,-1.49647625,0.0007372249965555966,0.0008459126528049375,24,215,-44.54793930053711,44
60384,28.606245040893555,1258.0,5.960355758666992,60283,-1.4831331250000002,0.0009102636831812561,0.0008459126528049375,24,417,-38.22891616821289,48
65416,-1.5761841535568237,1258.0,13.382013320922852,65315,-1.4542563076923078,0.0007300014258362353,0.0008459126528049375,24,623,-34.120487213134766,52
70448,-60.47566604614258,1258.0,5.843692302703857,70347,-1.4398128035714284,0.0013548765564337373,0.0008459126528049375,24,830,-23.560407638549805,56
75480,9.55960464477539,1258.0,17.623960494995117,75379,-1.4232122999999999,0.0021869561169296503,0.0008459126528049375,22,21,-10.218132019042969,60
80512,-10.013772964477539,1258.0,4.126226425170898,80411,-1.405703640625,0.0012635355815291405,0.0008459126528049375,18,293,-7.856606483459473,64
85544,34.453128814697266,1258.0,4.600125789642334,85443,-1.3743199705882354,0.0006988688255660236,0.0008459126528049375,17,611,-0.08278119564056396,68
