time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,time/time_elapsed,train/critic_loss,train/ent_coef_loss
5032,1258.0,-121.61642456054688,0.0008459126528049375,0.016992809250950813,-4.538836999999999,4,26,4931,189,1.855919599533081,-182.739990234375
10064,1258.0,-128.29232788085938,0.0008459126528049375,0.000929380941670388,-3.50759975,8,26,9963,373,5.658146381378174,75.77619171142578
15096,1258.0,-121.0949935913086,0.0008459126528049375,0.0018219533376395702,-2.758079333333333,12,26,14995,563,13.37158203125,110.3685302734375
20128,1258.0,-108.25918579101562,0.0008459126528049375,0.0013216972583904862,-2.447655125,16,26,20027,751,3.427586317062378,-58.41416549682617
25160,1258.0,-105.97814178466797,0.0008459126528049375,0.0007965140393935144,-2.22439225,20,25,25059,6,3.6272785663604736,-14.107420921325684
30192,1258.0,-97.33228302001953,0.0008459126528049375,0.0008815580513328314,-2.05782,24,27,30091,191,5.786791801452637,-56.56313705444336
35224,1258.0,-79.52543640136719,0.0008459126528049375,0.0011904400307685137,-1.953129357142857,28,26,35123,378,3.2690749168395996,-75.49624633789062
40256,1258.0,-68.93527221679688,0.0008459126528049375,0.00045357021735981107,-1.8768386874999998,32,27,40155,548,3.221942901611328,-54.84003829956055
45288,1258.0,-54.20870590209961,0.0008459126528049375,0.0008705193758942187,-1.8289632777777776,36,27,45187,743,25.057958602905273,238.59722900390625
50320,1258.0,-51.98434829711914,0.0008459126528049375,0.00042855553328990936,-1.7725706499999998,40,32,50219,9,2.432835578918457,-8.277481079101562
55352,1258.0,-47.88922882080078,0.0008459126528049375,0.0007902585784904659,-1.7258156136363636,44,32,55251,165,3.7949953079223633,-32.92789840698242
60384,1258.0,-34.88188552856445,0.0008459126528049375,0.0006736048380844295,-1.685197125,48,32,60283,320,5.172755718231201,-11.015998840332031
65416,1258.0,-21.83901596069336,0.0008459126528049375,0.0018823662539944053,-1.651597096153846,52,32,65315,477,9.561931610107422,-14.824871063232422
70448,1258.0,-13.378847122192383,0.0008459126528049375,0.0007232812931761146,-1.6271768928571428,56,30,70347,671,11.144142150878906,-26.28927230834961
75480,1258.0,-6.510043621063232,0.0008459126528049375,0.00040884182089939713,-1.6168883500000002,60,24,75379,19,11.06030559539795,9.574615478515625
80512,1258.0,3.5351295471191406,0.0008459126528049375,0.0011436629574745893,-1.5991370625,64,26,80411,208,6.885091781616211,-55.61930847167969
85544,1258.0,33.952911376953125,0.0008459126528049375,0.0013089110143482685,-1.581407794117647,68,26,85443,391,53.529937744140625,25.986711502075195
90576,1258.0,53.12150955200195,0.0008459126528049375,0.0011739269830286503,-1.585857125,72,27,90475,557,15.501441955566406,-85.84764862060547
95608,1258.0,67.59296417236328,0.0008459126528049375,0.002510376973077655,-1.5841183684210527,76,28,95507,724,27.199481964111328,-1.285776138305664
