time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/ent_coef,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,time/time_elapsed,train/critic_loss,train/ent_coef_loss
5032,1258.0,-123.81777954101562,0.0008459126528049375,0.017372962087392807,-4.452919,4,27,4931,180,2.8145911693573,-161.80296325683594
10064,1258.0,-128.59780883789062,0.0008459126528049375,0.0009478690917603672,-3.518293625,8,28,9963,355,4.666770935058594,-38.318115234375
15096,1258.0,-135.16415405273438,0.0008459126528049375,0.001010905602015555,-2.897217,12,29,14995,507,6.470507621765137,-6.503322601318359
20128,1258.0,-129.70339965820312,0.0008459126528049375,0.001323187374509871,-2.5375588125000004,16,30,20027,660,11.210470199584961,77.09892272949219
25160,1258.0,-106.83150482177734,0.0008459126528049375,0.001464132103137672,-2.3764294,20,33,25059,4,6.504147529602051,31.357080459594727
30192,1258.0,-91.6151351928711,0.0008459126528049375,0.0007253594812937081,-2.249217708333333,24,32,30091,158,2.7042505741119385,46.62445068359375
35224,1258.0,-84.57344055175781,0.0008459126528049375,0.000721289194189012,-2.164380464285714,28,32,35123,312,4.512759208679199,60.499698638916016
40256,1258.0,-79.7038345336914,0.0008459126528049375,0.00048620509915053844,-2.09479978125,32,32,40155,467,1.150087594985962,68.22364044189453
45288,1258.0,-68.04782104492188,0.0008459126528049375,0.0009152017300948501,-2.018721388888889,36,32,45187,620,8.275753021240234,85.89977264404297
50320,1258.0,-49.32965850830078,0.0008459126528049375,0.0005730409757234156,-1.9599038,40,32,50219,9,18.768321990966797,218.27297973632812
55352,1258.0,-42.576820373535156,0.0008459126528049375,0.0007522775558754802,-1.9210219545454543,44,32,55251,165,0.9048526287078857,-5.995379447937012
60384,1258.0,-33.126869201660156,0.0008459126528049375,0.000873343669809401,-1.8882320208333334,48,32,60283,320,1.944722294807434,-0.15489012002944946
65416,1258.0,-23.90937614440918,0.0008459126528049375,0.0003422746667638421,-1.8755528846153846,52,32,65315,476,1.0974966287612915,-36.32841491699219
70448,1258.0,-13.78197956085205,0.0008459126528049375,0.00020886377023998648,-1.8480302142857143,56,32,70347,634,1.8914072513580322,-64.62886047363281
75480,1258.0,-8.572669982910156,0.0008459126528049375,0.0006088531226851046,-1.8145417166666669,60,30,75379,15,1.467879295349121,-5.454406261444092
80512,1258.0,-2.808702230453491,0.0008459126528049375,0.0006155538139864802,-1.7773364531249998,64,29,80411,184,5.557313442230225,121.884765625
85544,1258.0,0.6570032238960266,0.0008459126528049375,0.0005810838774777949,-1.7607861911764704,68,30,85443,348,1.2036715745925903,-72.94326782226562
90576,1258.0,2.6371636390686035,0.0008459126528049375,0.0010403238702565432,-1.736020763888889,72,29,90475,521,5.597928524017334,57.411163330078125
95608,1258.0,11.53634262084961,0.0008459126528049375,0.000635919626802206,-1.7198141842105261,76,29,95507,700,3.112872362136841,-0.31960707902908325
