time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss
150,-123.53627014160156,1257.0,4927,-176.63238525390625,-4.194003499999999,0.01737181842327118,4,33,5028,0.0008459126528049375,2.462924003601074
304,-132.1912384033203,1257.0,9955,1.5095542669296265,-3.4886484999999996,0.00134088599588722,8,33,10056,0.0008459126528049375,5.354809761047363
457,-134.9038848876953,1257.0,14983,39.813385009765625,-2.8180304166666663,0.0012245590332895517,12,32,15084,0.0008459126528049375,7.7141618728637695
611,-131.19769287109375,1257.0,20011,84.3066635131836,-2.4976109375,0.0008977256948128343,16,32,20112,0.0008459126528049375,3.261401653289795
4,-133.0436553955078,1257.0,25039,16.98973274230957,-2.3734336500000004,0.0006554964347742498,20,33,25140,0.0008459126528049375,3.003507137298584
156,-135.38284301757812,1257.0,30067,-20.264598846435547,-2.2199051666666665,0.0007597733638249338,24,33,30168,0.0008459126528049375,4.450913906097412
308,-124.99020385742188,1257.0,35095,-42.928001403808594,-2.097045714285714,0.0007200486725196242,28,33,35196,0.0008459126528049375,2.5312447547912598
464,-124.35639953613281,1257.0,40123,9.187348365783691,-2.00118696875,0.0005872148904018104,32,32,40224,0.0008459126528049375,2.2807204723358154
662,-117.98023986816406,1257.0,45151,-54.87871551513672,-1.9339359166666665,0.0005599944852292538,36,30,45252,0.0008459126528049375,3.5980899333953857
8,-118.0033187866211,1257.0,50179,-15.163532257080078,-1.887212425,0.0006566551746800542,40,32,50280,0.0008459126528049375,1.3767064809799194
164,-100.84734344482422,1257.0,55207,-47.82281494140625,-1.853036159090909,0.0010822919430211186,44,32,55308,0.0008459126528049375,5.214244842529297
314,-91.47831726074219,1257.0,60235,-17.099775314331055,-1.8284749166666667,0.001474932418204844,48,32,60336,0.0008459126528049375,7.4266357421875
469,-86.61038970947266,1257.0,65263,26.590755462646484,-1.7917004423076923,0.001434075296856463,52,32,65364,0.0008459126528049375,7.85933780670166
626,-79.95893096923828,1257.0,70291,5.190641403198242,-1.7589604107142855,0.0021601428743451834,56,32,70392,0.0008459126528049375,84.95458984375
13,-69.60392761230469,1257.0,75319,-32.90399932861328,-1.7172440499999995,0.0017413110472261906,60,30,75420,0.0008459126528049375,8.111072540283203
182,-68.042236328125,1257.0,80347,22.611114501953125,-1.68718953125,0.001534925657324493,64,29,80448,0.0008459126528049375,10.224124908447266
354,-59.870731353759766,1257.0,85375,-0.36370623111724854,-1.6692500294117647,0.0010779588483273983,68,29,85476,0.0008459126528049375,15.097782135009766
525,-51.11804962158203,1257.0,90403,5.408886909484863,-1.6694841666666664,0.0014067173469811678,72,29,90504,0.0008459126528049375,18.870853424072266
695,-46.66071701049805,1257.0,95431,-12.268503189086914,-1.6429554868421052,0.0012386033777147532,76,29,95532,0.0008459126528049375,13.702667236328125
