rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,time/episodes,train/learning_rate
1258.0,2.8081564903259277,-4.75104,24,5032,209,4931,-163.34979248046875,-123.93830871582031,0.01733540929853916,4,0.0008459126528049375
1258.0,4.63234806060791,-3.773638625,23,10064,420,9963,-35.75993728637695,-128.84010314941406,0.0010050619021058083,8,0.0008459126528049375
1258.0,6.32906436920166,-3.2095336666666667,23,15096,629,14995,-4.901027202606201,-135.8058319091797,0.0014067529700696468,12,0.0008459126528049375
1258.0,7.41729736328125,-2.8822710000000002,23,20128,839,20027,-27.930583953857422,-140.09347534179688,0.0008167608757503331,16,0.0008459126528049375
1258.0,6.698479652404785,-2.6573216,23,25160,6,25059,10.318002700805664,-142.58250427246094,0.0011244899360463023,20,0.0008459126528049375
1258.0,8.387803077697754,-2.5134730416666664,23,30192,223,30091,-21.575393676757812,-147.52108764648438,0.0009314483613707125,24,0.0008459126528049375
1258.0,9.54369068145752,-2.4022760357142863,23,35224,434,35123,-14.91848373413086,-132.1851348876953,0.0019205115968361497,28,0.0008459126528049375
1258.0,25.48270034790039,-2.31712059375,23,40256,646,40155,171.63992309570312,-88.49642944335938,0.0010286078322678804,32,0.0008459126528049375
1258.0,7.535393238067627,-2.2631580277777776,23,45288,859,45187,11.419576644897461,-75.18948364257812,0.0008907709852792323,36,0.0008459126528049375
1258.0,25.885868072509766,-2.220568725,24,50320,13,50219,92.7129898071289,-53.5865478515625,0.001311438623815775,40,0.0008459126528049375
1258.0,1.566286325454712,-2.1699603636363634,23,55352,225,55251,44.22944641113281,-48.259437561035156,0.0005969973863102496,44,0.0008459126528049375
1258.0,2.7205519676208496,-2.1389125,23,60384,442,60283,96.6860580444336,-34.71908187866211,0.0005007171421311796,48,0.0008459126528049375
1258.0,2.0142385959625244,-2.1173519038461537,23,65416,660,65315,-42.21452713012695,-21.2890625,0.0008177285199053586,52,0.0008459126528049375
1258.0,1.1401759386062622,-2.099214107142857,23,70448,881,70347,-46.153648376464844,-18.882431030273438,0.00040540957706980407,56,0.0008459126528049375
1258.0,2.2282333374023438,-2.073621066666667,16,75480,29,75379,1.9734787940979004,-10.859598159790039,0.0004768678918480873,60,0.0008459126528049375
1258.0,0.5918365120887756,-2.0558317187500004,16,80512,339,80411,-44.561195373535156,-8.82822322845459,0.00036897844984196126,64,0.0008459126528049375
1258.0,0.7862496972084045,-2.042297161764706,16,85544,622,85443,-34.32921600341797,-2.5672829151153564,0.0007717119297012687,68,0.0008459126528049375
1258.0,0.32657521963119507,-2.036997027777778,17,90576,894,90475,43.152587890625,-1.6098432540893555,0.00022408837685361505,72,0.0008459126528049375
1258.0,0.39473897218704224,-2.0357609605263165,17,95608,1155,95507,-69.89213562011719,2.8776323795318604,0.00026459520449861884,76,0.0008459126528049375
