train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,time/fps,train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/ent_coef
-122.24510192871094,1257.0,-183.8880615234375,30,4927,0.0008459126528049375,1.8205947875976562,5028,-4.64577425,162,4,0.01751304417848587
-124.65531158447266,1257.0,-3.1253163814544678,30,9955,0.0008459126528049375,8.852252960205078,10056,-3.589719125,329,8,0.0013603117549791932
-117.2522201538086,1257.0,105.36703491210938,30,14983,0.0008459126528049375,2.4262290000915527,15084,-2.9619922499999998,495,12,0.0006375376251526177
-111.6430435180664,1257.0,32.44339370727539,30,20011,0.0008459126528049375,5.594951152801514,20112,-2.6211471875,661,16,0.0007409985410049558
-95.82717895507812,1257.0,264.68096923828125,30,25039,0.0008459126528049375,126.08468627929688,25140,-2.4148464000000005,4,20,0.0016891220584511757
-86.59190368652344,1257.0,-27.23050308227539,30,30067,0.0008459126528049375,6.4491682052612305,30168,-2.2951631666666663,170,24,0.0009086149511858821
-80.65584564208984,1257.0,-1.6734182834625244,30,35095,0.0008459126528049375,0.880433201789856,35196,-2.189959357142857,338,28,0.0008703898638486862
-59.079288482666016,1257.0,-20.397449493408203,30,40123,0.0008459126528049375,5.4068098068237305,40224,-2.1167668125,507,32,0.0007557175704278052
-56.371158599853516,1257.0,-64.14227294921875,29,45151,0.0008459126528049375,12.479937553405762,45252,-2.050219222222222,676,36,0.0008669411181472242
-54.461334228515625,1257.0,47.38847732543945,30,50179,0.0008459126528049375,14.648542404174805,50280,-1.9787116249999996,9,40,0.0005001496756449342
-52.31410217285156,1257.0,-34.873531341552734,30,55207,0.0008459126528049375,4.661741256713867,55308,-1.9309768863636363,176,44,0.0007762229070067406
-38.325721740722656,1257.0,36.52056884765625,29,60235,0.0008459126528049375,3.3420004844665527,60336,-1.8958166458333334,344,48,0.0010893562575802207
-28.791709899902344,1257.0,201.2013397216797,29,65263,0.0008459126528049375,8.1862211227417,65364,-1.8597163461538462,513,52,0.0007782601751387119
-25.4135684967041,1257.0,-6.007911682128906,29,70291,0.0008459126528049375,10.580770492553711,70392,-1.8265619285714283,685,56,0.0008100424311123788
-0.8406662344932556,1257.0,75.94236755371094,27,75319,0.0008459126528049375,37.27790832519531,75420,-1.7877064999999999,15,60,0.002411894267424941
10.490649223327637,1257.0,-8.911043167114258,27,80347,0.0008459126528049375,15.724342346191406,80448,-1.7490703125,200,64,0.001497876364737749
23.42570686340332,1257.0,-12.474503517150879,26,85375,0.0008459126528049375,6.9506707191467285,85476,-1.7320757499999997,388,68,0.0010265018790960312
32.157798767089844,1257.0,-70.54610443115234,26,90403,0.0008459126528049375,9.256182670593262,90504,-1.7168573055555556,577,72,0.0009135492728091776
38.93463897705078,1257.0,0.9537574052810669,26,95431,0.0008459126528049375,8.137616157531738,95532,-1.7041417368421052,764,76,0.0010057709878310561
