train/n_updates,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,time/fps,time/time_elapsed,train/ent_coef_loss,time/episodes,train/actor_loss,train/learning_rate,time/total_timesteps
4931,3.090693473815918,-5.32929375,0.017165059223771095,1258.0,55,90,-168.2559356689453,4,-121.94264221191406,0.0008459126528049375,5032
9963,4.799528121948242,-4.457832874999999,0.0010632160119712353,1258.0,55,180,-4.706151485443115,8,-131.68617248535156,0.0008459126528049375,10064
14995,7.596759796142578,-3.7426911666666665,0.0010744953760877252,1258.0,55,271,78.33171081542969,12,-133.59429931640625,0.0008459126528049375,15096
20027,8.808287620544434,-3.4167752499999997,0.0012488876236602664,1258.0,55,362,19.50821876525879,16,-131.2680206298828,0.0008459126528049375,20128
25059,7.728955268859863,-3.1881532000000004,0.001407891046255827,1258.0,55,2,-31.42778205871582,20,-108.87800598144531,0.0008459126528049375,25160
30091,6.058934211730957,-3.0987325416666667,0.0009392405045218766,1258.0,55,93,-52.67495346069336,24,-94.66030883789062,0.0008459126528049375,30192
35123,2.3998937606811523,-2.985952464285714,0.0005183551693335176,1258.0,55,184,-83.71116638183594,28,-77.46431732177734,0.0008459126528049375,35224
40155,7.07575798034668,-2.88568484375,0.0014252390246838331,1258.0,55,274,93.38411712646484,32,-68.9880599975586,0.0008459126528049375,40256
45187,1.266846776008606,-2.819985583333333,0.000720937445294112,1258.0,55,366,-13.527560234069824,36,-54.221343994140625,0.0008459126528049375,45288
50219,3.653563976287842,-2.7890906749999997,0.0002846488787326962,1258.0,55,5,18.860498428344727,40,-53.44795608520508,0.0008459126528049375,50320
55251,0.36815786361694336,-2.747699045454546,0.00011840834486065432,1258.0,54,97,-23.387025833129883,44,-50.645843505859375,0.0008459126528049375,55352
60283,1.561220645904541,-2.717213375,0.00026758474996313453,1258.0,54,189,85.576904296875,48,-47.62209701538086,0.0008459126528049375,60384
65315,3.8441145420074463,-2.687539730769231,0.0006423139711841941,1258.0,54,281,-8.098628044128418,52,-41.03437042236328,0.0008459126528049375,65416
70347,0.5169954895973206,-2.6617289464285716,0.0003780121332965791,1258.0,54,373,58.02555465698242,56,-40.040897369384766,0.0008459126528049375,70448
75379,0.9664329290390015,-2.6358594166666673,0.0003847343323286623,1258.0,52,9,-2.853673219680786,60,-37.01286697387695,0.0008459126528049375,75480
80411,1.8860965967178345,-2.6080147343749998,0.0005510731134563684,1258.0,51,106,-29.319591522216797,64,-34.50871276855469,0.0008459126528049375,80512
85443,1.0052378177642822,-2.5920862205882353,0.0006303249392658472,1258.0,51,204,3.5193138122558594,68,-31.64136505126953,0.0008459126528049375,85544
90475,5.028355598449707,-2.5757907083333333,0.0008283719071187079,1258.0,51,303,60.99522018432617,72,-26.556236267089844,0.0008459126528049375,90576
95507,1.9113295078277588,-2.5648796842105264,0.0007728995988145471,1258.0,51,403,-27.691665649414062,76,-21.898746490478516,0.0008459126528049375,95608
