train/n_updates,train/ent_coef_loss,time/episodes,time/fps,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,train/critic_loss
4927,-168.86117553710938,4,10,0.0008459126528049375,1257.0,463,-123.77642822265625,5028,0.017332648858428,-5.225140000000001,2.195706844329834
9955,-18.25890350341797,8,10,0.0008459126528049375,1257.0,933,-129.5623779296875,10056,0.0012997149024158716,-4.013599875,3.9055700302124023
14983,-20.223567962646484,12,10,0.0008459126528049375,1257.0,1401,-125.55775451660156,15084,0.0007431927951984107,-3.414288333333333,4.799711227416992
20011,64.11390686035156,16,10,0.0008459126528049375,1257.0,1883,-106.18904876708984,20112,0.001729496754705906,-3.0544673125,20.3569278717041
25039,19.531497955322266,20,10,0.0008459126528049375,1257.0,12,-97.99217224121094,25140,0.0007872876594774425,-2.8633211,5.618807792663574
30067,52.8127555847168,24,10,0.0008459126528049375,1257.0,491,-81.60107421875,30168,0.0006347617600113153,-2.6946246249999994,3.0299110412597656
35095,-32.32720184326172,28,10,0.0008459126528049375,1257.0,966,-74.79414367675781,35196,0.0007280998397618532,-2.604365142857142,1.96859872341156
40123,-2.8025622367858887,32,10,0.0008459126528049375,1257.0,1443,-72.3201675415039,40224,0.0005650398088619113,-2.51742153125,5.547623634338379
45151,-44.430206298828125,36,10,0.0008459126528049375,1257.0,1919,-59.465171813964844,45252,0.001216100063174963,-2.444852,4.555024147033691
50179,48.966392517089844,40,10,0.0008459126528049375,1257.0,26,-48.64909362792969,50280,0.0006428596680052578,-2.4219994,2.332711935043335
55207,31.454076766967773,44,10,0.0008459126528049375,1257.0,506,-39.4952278137207,55308,0.0006333833443932235,-2.3783267954545453,1.8084378242492676
60235,22.26272964477539,48,10,0.0008459126528049375,1257.0,978,-28.675809860229492,60336,0.0016072358703240752,-2.339453333333333,2.9192094802856445
65263,30.436513900756836,52,10,0.0008459126528049375,1257.0,1445,-20.97779083251953,65364,0.0008198402938432992,-2.3062622307692306,10.461357116699219
70291,-2.4239954948425293,56,10,0.0008459126528049375,1257.0,1913,-15.714211463928223,70392,0.0005999801796860993,-2.279475875,8.92315673828125
75319,7.244799613952637,60,10,0.0008459126528049375,1257.0,41,-5.987575054168701,75420,0.000674327602609992,-2.2848287666666662,5.783911228179932
80347,20.890796661376953,64,10,0.0008459126528049375,1257.0,540,-1.3349889516830444,80448,0.0012139042373746634,-2.26333675,6.713624000549316
85375,-0.7080958485603333,68,10,0.0008459126528049375,1257.0,1042,10.316375732421875,85476,0.0014382615918293595,-2.2540124852941177,10.85451889038086
90403,4.121439456939697,72,9,0.0008459126528049375,1257.0,1551,19.90001678466797,90504,0.0006055076373741031,-2.240104013888889,4.912008285522461
95431,32.32669448852539,76,10,0.0008459126528049375,1257.0,2052,31.187461853027344,95532,0.0009523374610580504,-2.225284894736842,4.0988545417785645
