time/episodes,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/critic_loss,time/total_timesteps,time/fps,time/time_elapsed
4,-4.4317965,0.0008459126528049375,0.017079364508390427,-121.30290985107422,1258.0,-147.7842559814453,4931,4.6542649269104,5032,33,152
8,-3.3147453749999998,0.0008459126528049375,0.001025832025334239,-128.13729858398438,1258.0,22.792072296142578,9963,5.969923973083496,10064,32,307
12,-2.7707266666666666,0.0008459126528049375,0.0008624941692687571,-123.5322494506836,1258.0,22.789827346801758,14995,2.6627395153045654,15096,32,462
16,-2.4588714375,0.0008459126528049375,0.0012588502140715718,-110.55570983886719,1258.0,35.159812927246094,20027,17.86407470703125,20128,32,617
20,-2.2574294000000004,0.0008459126528049375,0.0007878182805143297,-111.94540405273438,1258.0,11.106135368347168,25059,3.6943154335021973,25160,32,4
24,-2.115607583333333,0.0008459126528049375,0.0007284224266186357,-107.49747467041016,1258.0,9.703568458557129,30091,5.925332069396973,30192,32,159
28,-2.013112,0.0008459126528049375,0.0016534709138795733,-74.81970977783203,1258.0,-13.220596313476562,35123,8.627029418945312,35224,37,271
32,-1.9779655937499998,0.0008459126528049375,0.0005303999641910195,-62.76083755493164,1258.0,-61.192955017089844,40155,15.050357818603516,40256,33,449
36,-1.9328443888888889,0.0008459126528049375,0.0007965208496898413,-53.22764587402344,1258.0,12.618005752563477,45187,11.937524795532227,45288,33,606
40,-1.8851719499999997,0.0008459126528049375,0.00035090596065856516,-47.35491943359375,1258.0,40.25678634643555,50219,5.153592109680176,50320,32,9
44,-1.8393687272727275,0.0008459126528049375,0.00138327747117728,-37.39665603637695,1258.0,-21.902416229248047,55251,6.9325432777404785,55352,32,166
48,-1.7936060624999997,0.0008459126528049375,0.0008074686047621071,-33.940818786621094,1258.0,-37.00865173339844,60283,11.324628829956055,60384,32,322
52,-1.7566548076923072,0.0008459126528049375,0.0012458612909540534,-21.568410873413086,1258.0,-5.3965654373168945,65315,1.8119220733642578,65416,32,480
56,-1.7272215892857141,0.0008459126528049375,0.001407020608894527,-17.027494430541992,1258.0,23.925989151000977,70347,19.206336975097656,70448,32,638
60,-1.7032291166666667,0.0008459126528049375,0.001993983518332243,11.055540084838867,1258.0,212.41595458984375,75379,130.8869171142578,75480,30,15
64,-1.68391228125,0.0008459126528049375,0.0023823813535273075,36.649208068847656,1258.0,0.7727047204971313,80411,25.511516571044922,80512,29,186
68,-1.6708690147058824,0.0008459126528049375,0.0015173202846199274,58.17047882080078,1258.0,-21.402463912963867,85443,24.00494956970215,85544,29,359
72,-1.6550115833333334,0.0008459126528049375,0.0023365290835499763,83.71949005126953,1258.0,-28.909006118774414,90475,16.619117736816406,90576,29,532
76,-1.6388473289473686,0.0008459126528049375,0.0008986962493509054,120.51567077636719,1258.0,-56.039546966552734,95507,37.27096176147461,95608,29,705
