time/episodes,train/critic_loss,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,train/ent_coef,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean
4,51.90568161010742,4892,-181.2486572265625,418,-120.36201477050781,0.0008459126528049375,11,0.019341910257935524,1223.0,4791,-4.3189245000000005
8,1.8130180835723877,9784,-26.866172790527344,862,-128.22952270507812,0.0008459126528049375,11,0.0012222810182720423,1223.0,9683,-3.3781841249999998
12,3.7742629051208496,14676,-14.989770889282227,1322,-132.63241577148438,0.0008459126528049375,11,0.0011027776636183262,1223.0,14575,-2.744222666666666
16,3.873955488204956,19568,28.983076095581055,1783,-136.9100341796875,0.0008459126528049375,10,0.000804402690846473,1223.0,19467,-2.401654625
20,13.192464828491211,24460,30.579648971557617,2240,-136.3562469482422,0.0008459126528049375,10,0.0011831438168883324,1223.0,24359,-2.20092645
24,15.857011795043945,29352,31.094573974609375,402,-126.05416870117188,0.0008459126528049375,10,0.0007072707521729171,1223.0,29251,-2.040430833333333
28,2.8238680362701416,34244,26.062108993530273,847,-115.16850280761719,0.0008459126528049375,10,0.0008290294208563864,1223.0,34143,-1.9198472142857146
32,3.049116611480713,39136,10.115217208862305,1290,-112.4254379272461,0.0008459126528049375,10,0.000739766750484705,1223.0,39035,-1.8437535625
36,2.344607353210449,44028,24.834592819213867,1738,-104.74394226074219,0.0008459126528049375,10,0.0005493478383868933,1223.0,43927,-1.801820138888889
40,3.4948127269744873,48920,-12.946197509765625,2182,-98.85078430175781,0.0008459126528049375,10,0.0004547300923150033,1223.0,48819,-1.7448892749999998
44,3.030993938446045,53812,38.81421661376953,347,-97.44503021240234,0.0008459126528049375,10,0.0004896197351627052,1223.0,53711,-1.7031835
48,15.948616981506348,58704,43.91930389404297,797,-81.66603088378906,0.0008459126528049375,10,0.00245672557502985,1223.0,58603,-1.6654639375
52,6.876450538635254,63596,26.258710861206055,1232,-70.01329803466797,0.0008459126528049375,11,0.0013810662785544991,1223.0,63495,-1.6388493461538463
56,4.2030839920043945,68488,30.3856258392334,1685,-69.29366302490234,0.0008459126528049375,10,0.000869816867634654,1223.0,68387,-1.6114219285714284
60,2.641383171081543,73380,-5.1578545570373535,2143,-66.91561126708984,0.0008459126528049375,10,0.001232192968018353,1223.0,73279,-1.5940822833333332
64,6.7112016677856445,78272,-34.079288482666016,313,-57.485836029052734,0.0008459126528049375,10,0.000758498499635607,1223.0,78171,-1.5792792656249999
68,3.883946180343628,83164,28.56766700744629,785,-51.29658508300781,0.0008459126528049375,10,0.0009606991079635918,1223.0,83063,-1.5693302941176468
72,7.061779975891113,88056,8.84994888305664,1256,-49.024356842041016,0.0008459126528049375,10,0.0008618803694844246,1223.0,87955,-1.557539611111111
76,4.464093208312988,92948,30.901853561401367,1727,-43.59352111816406,0.0008459126528049375,10,0.000788360193837434,1223.0,92847,-1.5373316447368421
80,5.3795366287231445,97840,43.967010498046875,2192,-38.967044830322266,0.0008459126528049375,10,0.0009542525513097644,1223.0,97739,-1.5258559375
