time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate
4,-4.383819,5032,173,29,4931,0.01722290925681591,-122.53842163085938,1.4850302934646606,-182.4078826904297,1258.0,0.0008459126528049375
8,-3.3975225,10064,357,28,9963,0.0010417987359687686,-130.82647705078125,4.396814823150635,-46.447174072265625,1258.0,0.0008459126528049375
12,-2.8385182499999995,15096,542,27,14995,0.0013328735949471593,-134.84405517578125,6.80716609954834,-35.603294372558594,1258.0,0.0008459126528049375
16,-2.5145976875,20128,720,27,20027,0.0009659098577685654,-136.48011779785156,7.182706832885742,-1.7754325866699219,1258.0,0.0008459126528049375
20,-2.3147563999999994,25160,5,27,25059,0.0013375296257436275,-129.2465057373047,23.73223304748535,118.53733825683594,1258.0,0.0008459126528049375
24,-2.200519791666667,30192,192,27,30091,0.0006503205513581634,-121.91631317138672,4.170904159545898,26.925241470336914,1258.0,0.0008459126528049375
28,-2.082525678571429,35224,378,27,35123,0.0012136722216382623,-102.8343734741211,6.179599285125732,108.72589874267578,1258.0,0.0008459126528049375
32,-1.9882931562500001,40256,567,26,40155,0.0006538319285027683,-103.79429626464844,4.809002876281738,73.06449127197266,1258.0,0.0008459126528049375
36,-1.9062499444444445,45288,755,26,45187,0.0005448464653454721,-97.22721862792969,5.264784336090088,34.38739013671875,1258.0,0.0008459126528049375
40,-1.8435651500000003,50320,11,27,50219,0.0009331817273050547,-93.09241485595703,4.443598747253418,25.17462921142578,1258.0,0.0008459126528049375
44,-1.795508022727273,55352,197,27,55251,0.001040492090396583,-83.68937683105469,6.108211517333984,21.2271728515625,1258.0,0.0008459126528049375
48,-1.7490326458333332,60384,382,27,60283,0.0015178240137174726,-74.84184265136719,7.331506729125977,-17.806032180786133,1258.0,0.0008459126528049375
52,-1.7171818846153843,65416,567,27,65315,0.0009268755675293505,-63.01935958862305,11.978906631469727,-33.244171142578125,1258.0,0.0008459126528049375
56,-1.6824288214285714,70448,752,27,70347,0.0017566997557878494,-63.65806579589844,15.982107162475586,-45.888614654541016,1258.0,0.0008459126528049375
60,-1.6565433333333333,75480,19,24,75379,0.001316805719397962,-55.455833435058594,11.349273681640625,-50.30776596069336,1258.0,0.0008459126528049375
64,-1.63084196875,80512,203,27,80411,0.0008233870612457395,-43.070404052734375,8.60824966430664,-80.51422119140625,1258.0,0.0008459126528049375
68,-1.6154044117647057,85544,366,28,85443,0.0009667706326581538,-33.330867767333984,9.355171203613281,-28.454557418823242,1258.0,0.0008459126528049375
72,-1.6053570277777778,90576,529,29,90475,0.0013395606074482203,-25.32401466369629,11.332403182983398,-10.277198791503906,1258.0,0.0008459126528049375
76,-1.5913915,95608,694,29,95507,0.0005489694885909557,-11.025140762329102,5.827274322509766,7.5529680252075195,1258.0,0.0008459126528049375
