train/n_updates,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/ent_coef,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss
4927,3.759676456451416,-121.53280639648438,4,-4.587396750000001,35,143,5028,0.017116190865635872,0.0008459126528049375,1257.0,-172.842041015625
9955,2.517136573791504,-127.42652893066406,8,-3.580555375,36,277,10056,0.0011439875233918428,0.0008459126528049375,1257.0,-34.248592376708984
14983,8.64311695098877,-121.82429504394531,12,-2.9804208333333335,36,411,15084,0.0015976715367287397,0.0008459126528049375,1257.0,-41.2922477722168
20011,5.486513137817383,-112.43536376953125,16,-2.6267266874999997,36,551,20112,0.001438175211660564,0.0008459126528049375,1257.0,5.837620735168457
25039,3.2269389629364014,-114.06007385253906,20,-2.41683325,36,3,25140,0.0006861123838461936,0.0008459126528049375,1257.0,-1.5173951387405396
30067,32.60332489013672,-80.00041961669922,24,-2.2278172916666668,31,164,30168,0.0014414446195587516,0.0008459126528049375,1257.0,167.43824768066406
35095,4.532219886779785,-76.85566711425781,28,-2.1254855,31,328,35196,0.000630621041636914,0.0008459126528049375,1257.0,8.067279815673828
40123,2.5055911540985107,-75.7587890625,32,-2.0521063749999997,31,479,40224,0.0005944181466475129,0.0008459126528049375,1257.0,18.244787216186523
45151,1.4365935325622559,-71.17549896240234,36,-1.9977463055555558,33,613,45252,0.0003770048206206411,0.0008459126528049375,1257.0,32.25754165649414
50179,1.46310555934906,-65.75845336914062,40,-1.948427675,37,7,50280,0.00033925368916243315,0.0008459126528049375,1257.0,27.339183807373047
55207,3.3401970863342285,-57.854400634765625,44,-1.8996245227272726,37,140,55308,0.00034645479172468185,0.0008459126528049375,1257.0,32.25921630859375
60235,1.731391191482544,-56.1644287109375,48,-1.8620127291666666,37,274,60336,0.00037322036223486066,0.0008459126528049375,1257.0,15.626352310180664
65263,17.20622444152832,-51.84547424316406,52,-1.8154703076923075,37,409,65364,0.0010574253974482417,0.0008459126528049375,1257.0,41.40946960449219
70291,60.97481918334961,-49.239383697509766,56,-1.7939827678571427,37,545,70392,0.0007968486752361059,0.0008459126528049375,1257.0,5.4623823165893555
75319,24.20709228515625,-44.1126823425293,60,-1.7702411833333331,34,12,75420,0.0008978905389085412,0.0008459126528049375,1257.0,22.383014678955078
80347,6.989424705505371,-6.464705944061279,64,-1.741943375,30,176,80448,0.0014368249103426933,0.0008459126528049375,1257.0,-11.659650802612305
85375,19.8973445892334,2.7750625610351562,68,-1.7180260294117649,29,354,85476,0.0015578294405713677,0.0008459126528049375,1257.0,-19.614580154418945
90403,11.898125648498535,9.464531898498535,72,-1.6989934722222222,29,532,90504,0.0012364494614303112,0.0008459126528049375,1257.0,-16.933320999145508
95431,3.932183027267456,21.060365676879883,76,-1.6844937236842106,28,709,95532,0.0008690606919117272,0.0008459126528049375,1257.0,-22.065227508544922
