time/episodes,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/actor_loss,train/n_updates
4,0.01749172806739807,1258.0,166,5032,-4.845072500000001,-167.83822631835938,0.0008459126528049375,30,1.9328420162200928,-124.53136444091797,4931
8,0.0011252638651058078,1258.0,343,10064,-3.7317097500000003,-28.35179328918457,0.0008459126528049375,29,4.823367118835449,-132.16734313964844,9963
12,0.0009165263036265969,1258.0,510,15096,-3.0507114166666667,19.135881423950195,0.0008459126528049375,29,6.417746067047119,-135.25576782226562,14995
16,0.0008381317020393908,1258.0,708,20128,-2.7480175,82.96792602539062,0.0008459126528049375,28,8.541719436645508,-135.3137664794922,20027
20,0.0012533231638371944,1258.0,4,25160,-2.5284850000000008,3.894307851791382,0.0008459126528049375,32,7.379354953765869,-119.97990417480469,25059
24,0.0011375665199011564,1258.0,177,30192,-2.4278180833333334,48.260337829589844,0.0008459126528049375,29,9.216971397399902,-117.24207305908203,30091
28,0.0008396545308642089,1258.0,371,35224,-2.3382222500000003,-7.746577739715576,0.0008459126528049375,27,3.6048989295959473,-115.5685806274414,35123
32,0.0006266036070883274,1258.0,569,40256,-2.2722825,14.413955688476562,0.0008459126528049375,26,2.9928641319274902,-114.72425842285156,40155
36,0.00048714937292970717,1258.0,739,45288,-2.1978635000000004,6.72892427444458,0.0008459126528049375,27,6.912038803100586,-107.42493438720703,45187
40,0.0007066774414852262,1258.0,12,50320,-2.1350637,-34.709564208984375,0.0008459126528049375,25,2.8232970237731934,-104.86636352539062,50219
44,0.000555903185158968,1258.0,209,55352,-2.0925835,28.895111083984375,0.0008459126528049375,25,3.5858335494995117,-98.6495590209961,55251
48,0.001553840353153646,1258.0,407,60384,-2.047868916666667,-4.4232177734375,0.0008459126528049375,25,13.82735824584961,-70.79177856445312,60283
52,0.0009003394516184926,1258.0,584,65416,-2.0159669038461536,-34.65679931640625,0.0008459126528049375,26,10.183815002441406,-67.08818054199219,65315
56,0.002165290992707014,1258.0,746,70448,-1.9856325000000001,17.621671676635742,0.0008459126528049375,27,14.123499870300293,-42.549949645996094,70347
60,0.0014435466146096587,1258.0,15,75480,-1.9654918166666668,-15.675643920898438,0.0008459126528049375,30,31.252408981323242,-39.03342819213867,75379
64,0.002770179882645607,1258.0,198,80512,-1.94508796875,-20.866701126098633,0.0008459126528049375,27,37.97505187988281,-36.13691711425781,80411
68,0.0023980059195309877,1258.0,369,85544,-1.93498475,-10.814437866210938,0.0008459126528049375,28,10.74583911895752,-26.351778030395508,85443
72,0.0019159154035151005,1258.0,541,90576,-1.9185339444444445,-19.882417678833008,0.0008459126528049375,28,16.104347229003906,-6.758457660675049,90475
76,0.002908353926613927,1258.0,715,95608,-1.9051624605263155,14.897516250610352,0.0008459126528049375,28,118.35205078125,10.382699966430664,95507
