time/episodes,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/actor_loss,train/n_updates
4,0.017507491633296013,1258.0,148,5032,-4.8401665000000005,-177.58299255371094,0.0008459126528049375,33,2.075089931488037,-122.65186309814453,4931
8,0.001380750210955739,1258.0,304,10064,-3.8058161249999998,-8.507773399353027,0.0008459126528049375,33,4.716288089752197,-131.48353576660156,9963
12,0.0017798513872548938,1258.0,466,15096,-3.1553869999999997,56.223628997802734,0.0008459126528049375,32,11.887958526611328,-123.94367980957031,14995
16,0.0004708476772066206,1258.0,618,20128,-2.8214548125,81.86278533935547,0.0008459126528049375,32,5.99773645401001,-120.67431640625,20027
20,0.0014451217139139771,1258.0,4,25160,-2.5993143499999998,7.5561652183532715,0.0008459126528049375,33,10.772035598754883,-118.2102279663086,25059
24,0.0005869684973731637,1258.0,158,30192,-2.4719660833333332,67.71833801269531,0.0008459126528049375,32,2.5906243324279785,-117.4177017211914,30091
28,0.0007711998769082129,1258.0,311,35224,-2.4197844999999996,22.773685455322266,0.0008459126528049375,32,4.925180912017822,-101.71743774414062,35123
32,0.000520177825819701,1258.0,465,40256,-2.3461876874999996,30.89504623413086,0.0008459126528049375,32,10.565078735351562,-98.32960510253906,40155
36,0.0010091881267726421,1258.0,618,45288,-2.2736833611111114,23.04224967956543,0.0008459126528049375,32,15.850056648254395,-93.74772644042969,45187
40,0.0010806602658703923,1258.0,9,50320,-2.242911725,-37.64250183105469,0.0008459126528049375,33,3.9898366928100586,-88.52578735351562,50219
44,0.001283216173760593,1258.0,165,55352,-2.230430068181818,-3.40820050239563,0.0008459126528049375,32,55.83851623535156,-85.32456970214844,55251
48,0.0022619457449764013,1258.0,353,60384,-2.2042875,-8.456286430358887,0.0008459126528049375,29,33.39813995361328,-74.30770874023438,60283
52,0.0023528849706053734,1258.0,541,65416,-2.1881927115384614,25.219600677490234,0.0008459126528049375,28,25.28289794921875,-65.4788818359375,65315
56,0.0009074251283891499,1258.0,708,70448,-2.1627556607142857,12.384244918823242,0.0008459126528049375,28,15.283546447753906,-57.93280029296875,70347
60,0.0019122344674542546,1258.0,15,75480,-2.1431234666666668,-8.43531608581543,0.0008459126528049375,30,16.081052780151367,-48.70440673828125,75379
64,0.0024228726979345083,1258.0,186,80512,-2.1151785781249997,0.2559036612510681,0.0008459126528049375,29,530.809814453125,-43.99876022338867,80411
68,0.0019014108693227172,1258.0,360,85544,-2.097352485294117,-45.67506408691406,0.0008459126528049375,29,15.821037292480469,-26.23502540588379,85443
