train/n_updates,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/fps,train/learning_rate,train/ent_coef,time/total_timesteps
4927,4,-5.4353545,451,-163.35870361328125,1257.0,-120.06919860839844,1.6704418659210205,11,0.0008459126528049375,0.01712505705654621,5028
9955,8,-4.380048875,906,44.64401626586914,1257.0,-124.93103790283203,44.31151580810547,11,0.0008459126528049375,0.000852003286127001,10056
14983,12,-3.72146675,1369,34.1805305480957,1257.0,-131.44383239746094,4.39279317855835,11,0.0008459126528049375,0.0010674470104277134,15084
20011,16,-3.3898409999999997,1826,16.732315063476562,1257.0,-125.9129638671875,11.840019226074219,11,0.0008459126528049375,0.0016292247455567122,20112
25039,20,-3.20607635,12,-20.381324768066406,1257.0,-115.00238037109375,3.5936336517333984,11,0.0008459126528049375,0.0010116525227203965,25140
30067,24,-3.0695486666666665,475,-65.81513214111328,1257.0,-101.54056549072266,4.3495283126831055,10,0.0008459126528049375,0.0007226648740470409,30168
35095,28,-3.0235621071428573,940,24.098831176757812,1257.0,-85.85608673095703,6.5650200843811035,10,0.0008459126528049375,0.0008513969369232655,35196
40123,32,-2.9359911875,1406,157.54388427734375,1257.0,-75.81626892089844,3.209909439086914,10,0.0008459126528049375,0.0004891215357929468,40224
45151,36,-2.8302936388888886,1867,-30.77301025390625,1257.0,-71.25060272216797,3.2382497787475586,10,0.0008459126528049375,0.0009882557205855846,45252
50179,40,-2.7646688,25,12.331452369689941,1257.0,-65.71647644042969,1.6610400676727295,11,0.0008459126528049375,0.0004845292423851788,50280
55207,44,-2.6894998863636363,483,-37.59979248046875,1257.0,-61.73481750488281,2.6031765937805176,10,0.0008459126528049375,0.0006324927089735866,55308
60235,48,-2.6542340416666668,958,2.732297420501709,1257.0,-48.98789978027344,5.07731819152832,10,0.0008459126528049375,0.0009194849990308285,60336
65263,52,-2.6454432307692306,1435,-19.719791412353516,1257.0,-41.459590911865234,13.922442436218262,10,0.0008459126528049375,0.0007509672432206571,65364
