time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef
4,-4.025915,1223.0,29,-182.19705200195312,4892,166,0.0008459126528049375,4791,49.264198303222656,-120.52941131591797,0.019570857286453247
8,-3.0194814999999995,1223.0,30,49.122318267822266,9784,322,0.0008459126528049375,9683,2.3312697410583496,-127.21534729003906,0.001279640942811966
12,-2.450287583333333,1223.0,31,-52.0085334777832,14676,472,0.0008459126528049375,14575,5.499789237976074,-129.0675506591797,0.0009745440911501646
16,-2.0993268125,1223.0,31,39.73549270629883,19568,622,0.0008459126528049375,19467,4.131223678588867,-116.43055725097656,0.0010583702242001891
20,-1.9131661500000003,1223.0,31,-24.39409828186035,24460,772,0.0008459126528049375,24359,6.323710918426514,-102.0055160522461,0.0009121368057094514
24,-1.772867708333333,1223.0,32,3.1894466876983643,29352,133,0.0008459126528049375,29251,2.9878623485565186,-99.93026733398438,0.0003075044951401651
28,-1.702341357142857,1223.0,32,39.04186248779297,34244,282,0.0008459126528049375,34143,1.7511975765228271,-84.76525115966797,0.0006719139055348933
32,-1.6444061875,1223.0,32,60.73148727416992,39136,432,0.0008459126528049375,39035,3.3670010566711426,-67.94554138183594,0.0005994365783408284
36,-1.605727388888889,1223.0,31,-23.07724380493164,44028,601,0.0008459126528049375,43927,5.326356887817383,-51.29793167114258,0.0008308851392939687
40,-1.5814003500000002,1223.0,30,-11.195934295654297,48920,774,0.0008459126528049375,48819,2.679992198944092,-48.460723876953125,0.00043208853458054364
44,-1.540599022727273,1223.0,28,-24.217138290405273,53812,134,0.0008459126528049375,53711,0.8872470259666443,-47.42570877075195,0.0005415718769654632
48,-1.4996037500000001,1223.0,29,-46.93463134765625,58704,295,0.0008459126528049375,58603,5.8854875564575195,-35.35157775878906,0.0014643828617408872
52,-1.473403076923077,1223.0,30,-27.330820083618164,63596,443,0.0008459126528049375,63495,2.0174622535705566,-29.91373634338379,0.0004921660292893648
56,-1.4429757857142858,1223.0,31,-22.99443244934082,68488,593,0.0008459126528049375,68387,15.620086669921875,-21.918678283691406,0.0009498032741248608
60,-1.4184287833333333,1223.0,30,-7.642982482910156,73380,766,0.0008459126528049375,73279,3.7491273880004883,-18.659927368164062,0.0012234833557158709
64,-1.4025788437500002,1223.0,27,27.498090744018555,78272,120,0.0008459126528049375,78171,4.375099182128906,-13.039846420288086,0.00039028204628266394
68,-1.3870561911764707,1223.0,27,-18.442670822143555,83164,293,0.0008459126528049375,83063,2.128084659576416,-5.145293235778809,0.00030733912717550993
72,-1.3665589583333333,1223.0,28,-65.86817932128906,88056,454,0.0008459126528049375,87955,6.641231536865234,5.658759117126465,0.0012808801839128137
76,-1.3553438947368424,1223.0,29,34.68734359741211,92948,616,0.0008459126528049375,92847,1.654285192489624,9.924318313598633,0.0006649398128502071
80,-1.3448855874999999,1223.0,29,28.021642684936523,97840,780,0.0008459126528049375,97739,10.570768356323242,17.376733779907227,0.000668576336465776
