time/episodes,train/n_updates,train/actor_loss,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,train/learning_rate
4,4931,-122.39320373535156,393,3.232800006866455,12,5032,-4.478491,-169.99391174316406,0.017373772338032722,1258.0,0.0008459126528049375
8,9963,-119.47777557373047,788,7.780998229980469,12,10064,-3.542933625,128.06590270996094,0.0011246041394770145,1258.0,0.0008459126528049375
12,14995,-109.6237564086914,1184,3.5506432056427,12,15096,-2.896547583333333,-53.72991180419922,0.0011864131083711982,1258.0,0.0008459126528049375
16,20027,-101.50700378417969,1581,3.021803855895996,12,20128,-2.558615125,-12.314163208007812,0.000778846035245806,1258.0,0.0008459126528049375
20,25059,-73.03146362304688,12,8.191733360290527,12,25160,-2.3391096,82.39916229248047,0.0014673087280243635,1258.0,0.0008459126528049375
24,30091,-69.59426879882812,414,1.8170089721679688,12,30192,-2.2268732083333336,19.74158477783203,0.0004678808618336916,1258.0,0.0008459126528049375
28,35123,-57.71932601928711,823,2.764434337615967,12,35224,-2.13096775,-16.363269805908203,0.0006969865062274039,1258.0,0.0008459126528049375
32,40155,-46.64623260498047,1233,2.4784207344055176,12,40256,-2.06656940625,9.12612247467041,0.00044540417729876935,1258.0,0.0008459126528049375
36,45187,-43.2838020324707,1641,1.2202954292297363,12,45288,-2.018037388888889,19.210233688354492,0.0003624178352765739,1258.0,0.0008459126528049375
40,50219,-42.23516082763672,25,1.5418589115142822,12,50320,-1.98493085,-26.45907974243164,0.0002849617740139365,1258.0,0.0008459126528049375
44,55251,-41.192535400390625,437,0.32229822874069214,12,55352,-1.9349002499999999,87.84296417236328,0.00024075795954558998,1258.0,0.0008459126528049375
48,60283,-38.47175216674805,847,0.5551328063011169,12,60384,-1.9068042083333332,-17.219301223754883,0.00020675078849308193,1258.0,0.0008459126528049375
52,65315,-32.77933120727539,1246,9.01373291015625,12,65416,-1.8846523076923076,-27.58633041381836,0.0007121551316231489,1258.0,0.0008459126528049375
56,70347,-31.05484962463379,1649,2.7165756225585938,12,70448,-1.8707920714285715,54.959712982177734,0.00047749088844284415,1258.0,0.0008459126528049375
60,75379,-28.625577926635742,40,10.098503112792969,11,75480,-1.84602,7.540909290313721,0.0005596856353804469,1258.0,0.0008459126528049375
