rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,train/actor_loss,train/ent_coef,time/fps,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/n_updates,train/learning_rate
-4.2897365,162,4,46.483909606933594,-122.33518981933594,0.017772775143384933,30,1257.0,5028,-163.70523071289062,4927,0.0008459126528049375
-3.435825875,337,8,12.264808654785156,-126.18806457519531,0.0011958038667216897,29,1257.0,10056,-15.318750381469727,9955,0.0008459126528049375
-2.668816916666666,507,12,54.815269470214844,-117.77264404296875,0.0009731115424074233,29,1257.0,15084,244.06402587890625,14983,0.0008459126528049375
-2.2812686875,670,16,5.136938571929932,-101.60311126708984,0.0019330185605213046,30,1257.0,20112,-9.902737617492676,20011,0.0008459126528049375
-2.0965361499999995,4,20,3.5882720947265625,-101.2717514038086,0.0007921193027868867,31,1257.0,25140,-4.629316806793213,25039,0.0008459126528049375
-1.991081,183,24,1.681160807609558,-98.00736236572266,0.00035737507278099656,28,1257.0,30168,100.15546417236328,30067,0.0008459126528049375
-1.8508795,345,28,2.9989566802978516,-91.33695220947266,0.0006714747869409621,29,1257.0,35196,31.47083854675293,35095,0.0008459126528049375
-1.81017721875,508,32,7.774712562561035,-87.1216049194336,0.0004765678313560784,29,1257.0,40224,72.84639739990234,40123,0.0008459126528049375
-1.7611802777777779,672,36,1.8115181922912598,-79.48426055908203,0.0006001736037433147,30,1257.0,45252,-51.59916687011719,45151,0.0008459126528049375
-1.6889955750000003,9,40,6.565413951873779,-72.54550170898438,0.0007733917445875704,31,1257.0,50280,-83.85523986816406,50179,0.0008459126528049375
-1.6456799772727277,180,44,6.153992176055908,-63.88991928100586,0.0006676970515400171,29,1257.0,55308,10.908544540405273,55207,0.0008459126528049375
-1.5925256666666667,369,48,25.558677673339844,-43.867759704589844,0.001398630440235138,27,1257.0,60336,-1.2524676322937012,60235,0.0008459126528049375
-1.5653384615384618,555,52,29.827072143554688,-34.87702178955078,0.0009174580918624997,27,1257.0,65364,-44.52605056762695,65263,0.0008459126528049375
-1.5440999464285714,747,56,47.433536529541016,-19.656208038330078,0.0016627134755253792,27,1257.0,70392,-16.285369873046875,70291,0.0008459126528049375
-1.5321590500000002,16,60,17.539352416992188,0.12530410289764404,0.0017619992140680552,25,1257.0,75420,28.396221160888672,75319,0.0008459126528049375
-1.51633215625,214,64,76.1788330078125,8.959464073181152,0.0019539736676961184,25,1257.0,80448,-17.26425552368164,80347,0.0008459126528049375
-1.5021223970588236,413,68,50.825313568115234,27.16632080078125,0.004263609182089567,25,1257.0,85476,-4.705435752868652,85375,0.0008459126528049375
-1.5160510833333332,611,72,41.14885711669922,53.76960372924805,0.0025224145501852036,25,1257.0,90504,18.118370056152344,90403,0.0008459126528049375
-1.5191948026315791,804,76,197.69589233398438,68.41133880615234,0.0016855167923495173,25,1257.0,95532,4.835544586181641,95431,0.0008459126528049375
