train/n_updates,train/critic_loss,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
4927,2.0116705894470215,5028,4,353,-4.582044000000001,1257.0,14,-123.6936264038086,0.01755344122648239,0.0008459126528049375,-181.10934448242188
9955,4.926660060882568,10056,8,713,-3.420688375,1257.0,14,-129.72012329101562,0.0013938674237579107,0.0008459126528049375,0.9870815277099609
14983,13.661725044250488,15084,12,1075,-2.8372838333333337,1257.0,14,-125.98100280761719,0.0012591666309162974,0.0008459126528049375,-1.1104590892791748
20011,3.2276370525360107,20112,16,1422,-2.521332125,1257.0,14,-108.77239227294922,0.0012828668113797903,0.0008459126528049375,-13.140205383300781
25039,8.186564445495605,25140,20,9,-2.2827019999999996,1257.0,14,-93.43233489990234,0.0015876749530434608,0.0008459126528049375,-3.145394802093506
30067,4.065377712249756,30168,24,356,-2.148253083333333,1257.0,14,-92.72338104248047,0.0004979912773706019,0.0008459126528049375,-10.518007278442383
35095,5.068267822265625,35196,28,704,-2.0799320357142856,1257.0,14,-81.39421081542969,0.0005251540569588542,0.0008459126528049375,-14.835230827331543
40123,3.4033541679382324,40224,32,1056,-1.99629440625,1257.0,14,-63.19692611694336,0.0009017628617584705,0.0008459126528049375,-68.74430084228516
45151,15.211189270019531,45252,36,1414,-1.9254882222222223,1257.0,14,-48.421844482421875,0.001123887370340526,0.0008459126528049375,130.2317352294922
50179,2.2588977813720703,50280,40,19,-1.8812433,1257.0,14,-34.4959831237793,0.0005458913510665298,0.0008459126528049375,-93.63571166992188
55207,1.8119925260543823,55308,44,378,-1.8367662727272724,1257.0,14,-15.062222480773926,0.0008522978750988841,0.0008459126528049375,-5.859886169433594
60235,1.8391222953796387,60336,48,738,-1.8194520625,1257.0,13,-8.716606140136719,0.00039510743226855993,0.0008459126528049375,63.5500602722168
