time/episodes,rollout/ep_len_mean,time/fps,train/ent_coef,train/n_updates,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean
4,1223.0,37,0.019562507048249245,4791,130,49.37663269042969,-120.67345428466797,-181.8220672607422,4892,0.0008459126528049375,-4.1523575
8,1223.0,37,0.0012902752496302128,9683,263,2.2458343505859375,-127.67318725585938,53.610042572021484,9784,0.0008459126528049375,-3.13521875
12,1223.0,37,0.0017796027241274714,14575,396,23.680051803588867,-128.1724090576172,8.782740592956543,14676,0.0008459126528049375,-2.494624583333333
16,1223.0,36,0.000959765980951488,19467,530,2.5092597007751465,-120.64163970947266,111.36305236816406,19568,0.0008459126528049375,-2.2101612499999996
20,1223.0,36,0.0010713832452893257,24359,664,5.996564865112305,-120.57007598876953,36.05615234375,24460,0.0008459126528049375,-2.03665735
24,1223.0,36,0.0009436047985218465,29251,119,3.5292487144470215,-105.11048126220703,26.662851333618164,29352,0.0008459126528049375,-1.9126372916666667
28,1223.0,36,0.00029361428460106254,34143,253,3.0505921840667725,-104.66584014892578,10.678699493408203,34244,0.0008459126528049375,-1.8422815000000001
32,1223.0,36,0.0005772151635028422,39035,387,1.9021174907684326,-92.32719421386719,-51.89049530029297,39136,0.0008459126528049375,-1.7610965
36,1223.0,36,0.00041999705717898905,43927,521,2.2259116172790527,-92.1952133178711,82.83750915527344,44028,0.0008459126528049375,-1.6888875
40,1223.0,36,0.0007211502525024116,48819,657,7.584624767303467,-65.7088623046875,-126.95606994628906,48920,0.0008459126528049375,-1.6339550250000001
44,1223.0,36,0.0006902599125169218,53711,105,3.715850353240967,-63.063575744628906,10.428641319274902,53812,0.0008459126528049375,-1.6275593181818182
48,1223.0,36,0.0009010150097310543,58603,240,3.5328867435455322,-41.369571685791016,-17.496593475341797,58704,0.0008459126528049375,-1.5934390208333333
52,1223.0,36,0.00028175924671813846,63495,376,1.957326889038086,-26.943981170654297,-16.29819107055664,63596,0.0008459126528049375,-1.570754961538462
56,1223.0,35,0.000570311734918505,68387,513,1.1607234477996826,-25.18053436279297,-30.720623016357422,68488,0.0008459126528049375,-1.5511055714285713
60,1223.0,35,0.000544111942872405,73279,653,8.48042106628418,-15.496747016906738,-91.99481964111328,73380,0.0008459126528049375,-1.5371133166666664
64,1223.0,33,0.0003558302705641836,78171,98,1.3480695486068726,-12.125934600830078,-15.493823051452637,78272,0.0008459126528049375,-1.52883790625
68,1223.0,32,0.0005532795912586153,83063,249,1.915627121925354,-4.892858982086182,14.964688301086426,83164,0.0008459126528049375,-1.522036411764706
72,1223.0,32,0.001178707112558186,87955,401,6.174447059631348,1.1014256477355957,16.542503356933594,88056,0.0008459126528049375,-1.5020410416666665
76,1223.0,32,0.0008883569971658289,92847,552,4.888382911682129,7.234990119934082,-5.233512878417969,92948,0.0008459126528049375,-1.4982583421052629
80,1223.0,32,0.0007883650832809508,97739,705,7.160253047943115,15.077550888061523,13.664125442504883,97840,0.0008459126528049375,-1.4850294375
