time/episodes,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,time/fps
4,-164.62603759765625,5032,210,0.017507106065750122,0.0008459126528049375,4931,5.513219833374023,1258.0,-4.4583275,-123.88276672363281,23
8,39.08380126953125,10064,434,0.0011625724146142602,0.0008459126528049375,9963,7.460381507873535,1258.0,-3.422254375,-130.41978454589844,23
12,15.119244575500488,15096,658,0.001316212466917932,0.0008459126528049375,14995,9.422115325927734,1258.0,-2.781552916666667,-124.56959533691406,22
16,135.96238708496094,20128,880,0.0012670699506998062,0.0008459126528049375,20027,12.661110877990723,1258.0,-2.42575175,-103.1569595336914,22
20,247.0101318359375,25160,6,0.001285189762711525,0.0008459126528049375,25059,29.641042709350586,1258.0,-2.18804855,-92.10059356689453,23
24,22.674074172973633,30192,225,0.0008766230312176049,0.0008459126528049375,30091,4.919275283813477,1258.0,-2.050140875,-83.90043640136719,23
28,52.10883712768555,35224,456,0.0005948278703726828,0.0008459126528049375,35123,1.0957906246185303,1258.0,-1.97348625,-72.63910675048828,22
32,-53.77412414550781,40256,677,0.0008854773477651179,0.0008459126528049375,40155,3.545074939727783,1258.0,-1.89543740625,-50.55138397216797,22
36,-11.057093620300293,45288,899,0.0007918647606857121,0.0008459126528049375,45187,1.6697781085968018,1258.0,-1.8374850555555555,-44.34914016723633,22
40,-15.604072570800781,50320,13,0.0002384605468250811,0.0008459126528049375,50219,0.9956008195877075,1258.0,-1.8077551499999998,-35.62401580810547,23
44,83.12504577636719,55352,239,0.0002966011525131762,0.0008459126528049375,55251,3.568591594696045,1258.0,-1.7811404772727273,-30.706993103027344,22
48,152.12655639648438,60384,465,0.000439942697994411,0.0008459126528049375,60283,14.812594413757324,1258.0,-1.7561065000000002,-16.495521545410156,22
52,-36.8825569152832,65416,691,0.00040320734842680395,0.0008459126528049375,65315,1.2668406963348389,1258.0,-1.7378739615384617,-12.135019302368164,22
56,45.929264068603516,70448,919,0.00035014713648706675,0.0008459126528049375,70347,0.31623125076293945,1258.0,-1.7161128749999999,-6.123256206512451,22
60,-2.260308265686035,75480,23,0.0003391886712051928,0.0008459126528049375,75379,2.7533111572265625,1258.0,-1.6943087833333332,-2.8746068477630615,20
64,-18.12795066833496,80512,275,0.00031654673512093723,0.0008459126528049375,80411,0.34632956981658936,1258.0,-1.670846296875,-2.0687742233276367,20
68,-11.007113456726074,85544,537,0.0003837528347503394,0.0008459126528049375,85443,2.1724190711975098,1258.0,-1.6388298970588233,3.0498948097229004,19
72,-37.983089447021484,90576,795,0.00020115639199502766,0.0008459126528049375,90475,0.6762709617614746,1258.0,-1.611862638888889,5.6534318923950195,19
