train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/fps,train/learning_rate,time/episodes,time/time_elapsed,train/critic_loss
4931,-5.02865075,0.017458846792578697,-169.80020141601562,1258.0,-122.30132293701172,5032,68,0.0008459126528049375,4,73,1.1458585262298584
9963,-3.871714,0.0010078799678012729,-4.861778259277344,1258.0,-129.34678649902344,10064,68,0.0008459126528049375,8,147,5.0270514488220215
14995,-3.310874833333333,0.0010911003919318318,-78.1490707397461,1258.0,-132.84521484375,15096,67,0.0008459126528049375,12,222,12.73068618774414
20027,-2.9371952500000003,0.0009355988586321473,10.100913047790527,1258.0,-133.2841339111328,20128,67,0.0008459126528049375,16,298,2.818052291870117
25059,-2.7271413000000004,0.0005443468107841909,38.9055290222168,1258.0,-119.71192169189453,25160,66,0.0008459126528049375,20,2,1.8767566680908203
30091,-2.531450375,0.001341771217994392,8.697508811950684,1258.0,-87.72012329101562,30192,66,0.0008459126528049375,24,78,5.8315229415893555
35123,-2.4075497857142856,0.000740502611733973,-3.4641056060791016,1258.0,-85.79296112060547,35224,66,0.0008459126528049375,28,154,2.3336658477783203
40155,-2.3227106875,0.0005940526607446373,-19.308969497680664,1258.0,-82.19261932373047,40256,65,0.0008459126528049375,32,231,5.806927680969238
45187,-2.2715975277777773,0.0005356445908546448,48.107582092285156,1258.0,-75.54347229003906,45288,65,0.0008459126528049375,36,308,4.975298881530762
50219,-2.2230864500000003,0.0008331199060194194,-14.484540939331055,1258.0,-71.8198471069336,50320,65,0.0008459126528049375,40,4,1.8660492897033691
55251,-2.1989621363636367,0.0006374120712280273,12.678852081298828,1258.0,-68.5440444946289,55352,65,0.0008459126528049375,44,81,3.913344383239746
60283,-2.1806465,0.0004983378457836807,-24.333681106567383,1258.0,-61.60456085205078,60384,65,0.0008459126528049375,48,157,4.02197790145874
65315,-2.1625983461538465,0.00038669753121212125,114.1264419555664,1258.0,-58.852237701416016,65416,65,0.0008459126528049375,52,235,3.6510300636291504
70347,-2.1230703214285715,0.0005720627377741039,-7.471072673797607,1258.0,-53.19631576538086,70448,65,0.0008459126528049375,56,312,8.145124435424805
75379,-2.11253625,0.0004556619096547365,23.61814308166504,1258.0,-45.471561431884766,75480,63,0.0008459126528049375,60,7,5.598850727081299
80411,-2.1062044062500003,0.0004341186140663922,24.352392196655273,1258.0,-34.334022521972656,80512,62,0.0008459126528049375,64,88,7.407543659210205
85443,-2.0949744705882356,0.000815088686067611,-64.13248443603516,1258.0,-36.38605880737305,85544,62,0.0008459126528049375,68,169,2.6528220176696777
90475,-2.077394180555556,0.0005588087951764464,-34.262081146240234,1258.0,-28.503915786743164,90576,62,0.0008459126528049375,72,250,5.695601463317871
95507,-2.0616368289473685,0.0008450355962850153,-4.678135871887207,1258.0,-20.172157287597656,95608,62,0.0008459126528049375,76,332,11.9276123046875
