train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/fps,train/learning_rate,time/episodes,time/time_elapsed,train/critic_loss
4931,-4.7120542499999996,0.01736433058977127,-172.33868408203125,1258.0,-123.14572143554688,5032,72,0.0008459126528049375,4,69,1.183191180229187
9963,-3.7268563749999997,0.0009771130280569196,-6.806671619415283,1258.0,-129.3094482421875,10064,71,0.0008459126528049375,8,140,3.9734690189361572
14995,-3.088384833333333,0.0008081138366833329,69.20587921142578,1258.0,-129.45574951171875,15096,71,0.0008459126528049375,12,212,9.9818115234375
20027,-2.7798298125,0.0005582196754403412,76.32704162597656,1258.0,-130.50518798828125,20128,70,0.0008459126528049375,16,284,2.0241191387176514
25059,-2.56771825,0.0007385406061075628,56.93419647216797,1258.0,-115.2428207397461,25160,69,0.0008459126528049375,20,2,72.9039535522461
30091,-2.4534083750000004,0.0006862537120468915,13.31277847290039,1258.0,-113.26090240478516,30192,69,0.0008459126528049375,24,74,9.008561134338379
35123,-2.356501321428572,0.0008039904641918838,14.362567901611328,1258.0,-111.16889953613281,35224,69,0.0008459126528049375,28,146,2.896744728088379
40155,-2.2835822500000003,0.00030701601644977927,140.12367248535156,1258.0,-112.53648376464844,40256,70,0.0008459126528049375,32,217,3.0890748500823975
45187,-2.224973166666667,0.0007023673388175666,4.7240400314331055,1258.0,-108.23287963867188,45288,70,0.0008459126528049375,36,286,2.841073513031006
50219,-2.2097339249999997,0.0004354278207756579,-26.62005043029785,1258.0,-99.4190902709961,50320,73,0.0008459126528049375,40,4,3.772770404815674
55251,-2.1476864772727273,0.0009218125487677753,-22.445159912109375,1258.0,-95.38407135009766,55352,70,0.0008459126528049375,44,75,12.450870513916016
60283,-2.103495854166667,0.0009542384068481624,-55.29476547241211,1258.0,-85.32878875732422,60384,70,0.0008459126528049375,48,147,19.496273040771484
65315,-2.074304730769231,0.0006906009512022138,-15.998180389404297,1258.0,-75.39701843261719,65416,70,0.0008459126528049375,52,218,22.9702205657959
70347,-2.0429330714285716,0.0011660684831440449,5.058345794677734,1258.0,-60.149288177490234,70448,70,0.0008459126528049375,56,290,16.475032806396484
75379,-2.01014375,0.0011609869543462992,-29.011791229248047,1258.0,-43.861595153808594,75480,68,0.0008459126528049375,60,6,17.23897933959961
80411,-1.97871309375,0.0007601698162034154,-84.48370361328125,1258.0,-42.39827346801758,80512,67,0.0008459126528049375,64,81,11.050667762756348
85443,-1.957607735294117,0.0008811390725895762,-101.60673522949219,1258.0,-25.92981719970703,85544,67,0.0008459126528049375,68,156,17.048776626586914
