time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/ent_coef
5028,2.004974365234375,-180.1074676513672,4,-123.42536163330078,4927,1257.0,74,67,-5.4780665,0.0008459126528049375,0.017474763095378876
10056,5.669576644897461,4.519871234893799,8,-128.96119689941406,9955,1257.0,72,137,-4.214997,0.0008459126528049375,0.0013092686422169209
15084,4.509431838989258,26.012868881225586,12,-118.49848175048828,14983,1257.0,72,208,-3.5742790833333333,0.0008459126528049375,0.0014218802098184824
20112,1.740732192993164,-10.777327537536621,16,-110.47415161132812,20011,1257.0,71,279,-3.2601669375,0.0008459126528049375,0.0010062544606626034
25140,3.943673610687256,-21.08209800720215,20,-82.19739532470703,25039,1257.0,71,1,-3.0212335,0.0008459126528049375,0.0006806649034842849
30168,3.8874943256378174,25.682083129882812,24,-74.42311096191406,30067,1257.0,71,72,-2.882723541666667,0.0008459126528049375,0.0006242785602807999
35196,2.048470973968506,-38.13178634643555,28,-65.23878479003906,35095,1257.0,71,143,-2.789063321428572,0.0008459126528049375,0.0004888802068307996
40224,3.0783770084381104,-32.6862907409668,32,-55.712615966796875,40123,1257.0,71,214,-2.702878375,0.0008459126528049375,0.0008053018827922642
45252,3.304439067840576,54.90366744995117,36,-55.49987030029297,45151,1257.0,71,285,-2.6303715277777773,0.0008459126528049375,0.000536321138497442
50280,4.937816143035889,-12.350826263427734,40,-33.857688903808594,50179,1257.0,71,3,-2.57385355,0.0008459126528049375,0.0009037262061610818
55308,0.9246999025344849,-69.92919921875,44,-31.241840362548828,55207,1257.0,70,74,-2.5283832954545455,0.0008459126528049375,0.000738055445253849
60336,8.990501403808594,-0.7246558666229248,48,-25.050251007080078,60235,1257.0,70,146,-2.4732731458333332,0.0008459126528049375,0.0008262901101261377
65364,1.572843313217163,8.521624565124512,52,-20.765487670898438,65263,1257.0,70,217,-2.4582062884615383,0.0008459126528049375,0.0004327006754465401
70392,1.1986429691314697,-2.7438037395477295,56,-15.239744186401367,70291,1257.0,70,289,-2.4292763571428573,0.0008459126528049375,0.0006380823324434459
75420,1.670251727104187,-39.462520599365234,60,-10.226996421813965,75319,1257.0,67,6,-2.3953233833333334,0.0008459126528049375,0.00048291232087649405
80448,1.8677183389663696,19.903810501098633,64,-8.691057205200195,80347,1257.0,66,81,-2.3693356875,0.0008459126528049375,0.00041653632069937885
85476,1.6275657415390015,20.72962188720703,68,-2.6934895515441895,85375,1257.0,66,157,-2.3431200147058826,0.0008459126528049375,0.0005368049605749547
90504,9.893064498901367,-72.83319854736328,72,21.745302200317383,90403,1257.0,66,233,-2.3126486249999996,0.0008459126528049375,0.0013546420959755778
