time/total_timesteps,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,time/time_elapsed,rollout/ep_rew_mean,time/fps
5032,1258.0,4,-183.48492431640625,0.017018530517816544,4931,1.2018353939056396,0.0008459126528049375,-122.74998474121094,446,-4.14090625,11
10064,1258.0,8,-52.44853591918945,0.0009815751109272242,9963,5.2800092697143555,0.0008459126528049375,-128.45086669921875,906,-3.1058784999999998,11
15096,1258.0,12,183.43980407714844,0.0007854094728827477,14995,32.450836181640625,0.0008459126528049375,-119.54454803466797,1378,-2.4181710833333327,10
20128,1258.0,16,-33.48731231689453,0.0009255757904611528,20027,3.473163604736328,0.0008459126528049375,-113.19210815429688,1849,-2.0918657499999997,10
25160,1258.0,20,-26.828819274902344,0.0006906833150424063,25059,3.3439278602600098,0.0008459126528049375,-109.09716796875,13,-1.9338117500000003,11
30192,1258.0,24,-32.501712799072266,0.0005819687503390014,30091,1.6374454498291016,0.0008459126528049375,-107.95406341552734,491,-1.8004893749999997,10
35224,1258.0,28,-34.203514099121094,0.0002959213743451983,35123,3.5503854751586914,0.0008459126528049375,-103.57276153564453,956,-1.7030208214285714,10
40256,1258.0,32,-21.68319320678711,0.00048779300414025784,40155,1.6790956258773804,0.0008459126528049375,-101.57247924804688,1390,-1.63017196875,10
45288,1258.0,36,-8.633918762207031,0.0005941838026046753,45187,3.3470988273620605,0.0008459126528049375,-87.33155822753906,1844,-1.5691123055555556,11
50320,1258.0,40,38.68455123901367,0.0004443460493348539,50219,5.6885271072387695,0.0008459126528049375,-82.73262023925781,27,-1.5475707500000002,11
55352,1258.0,44,-11.007817268371582,0.0008777172188274562,55251,10.23802375793457,0.0008459126528049375,-47.38487243652344,481,-1.5151137954545455,11
60384,1258.0,48,-14.479440689086914,0.0008997527766041458,60283,9.517895698547363,0.0008459126528049375,-34.57368850708008,950,-1.5003538333333333,10
65416,1258.0,52,5.694620132446289,0.0010711436625570059,65315,7.831297874450684,0.0008459126528049375,-27.539321899414062,1402,-1.4875322307692307,10
70448,1258.0,56,91.39212036132812,0.0005141160800121725,70347,6.485241889953613,0.0008459126528049375,-21.08504867553711,1847,-1.4668511071428572,11
75480,1258.0,60,-1.3893375396728516,0.0004145880520809442,75379,5.947555065155029,0.0008459126528049375,-11.89814567565918,42,-1.4588912666666665,11
80512,1258.0,64,-24.898273468017578,0.0008970461785793304,80411,4.833235263824463,0.0008459126528049375,-2.1490039825439453,498,-1.451990828125,11
85544,1258.0,68,35.857879638671875,0.0011121270945295691,85443,5.726527214050293,0.0008459126528049375,3.715371608734131,971,-1.4362821911764705,10
90576,1258.0,72,-49.16793441772461,0.0008946408051997423,90475,10.269977569580078,0.0008459126528049375,22.515026092529297,1457,-1.4268215277777776,10
