time/total_timesteps,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,time/fps,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/actor_loss
4892,453,-164.94659423828125,-4.40474525,1.4038983583450317,0.01886945590376854,10,4,1223.0,4791,0.0008459126528049375,-123.42647552490234
9784,921,-35.53056716918945,-3.5398630000000004,3.900301456451416,0.0010109898867085576,10,8,1223.0,9683,0.0008459126528049375,-130.55084228515625
14676,1406,-38.54536056518555,-2.841953250000001,2.9482641220092773,0.0009241544175893068,10,12,1223.0,14575,0.0008459126528049375,-133.72061157226562
19568,1892,-19.876205444335938,-2.4860151875,25.39177703857422,0.0017248839139938354,10,16,1223.0,19467,0.0008459126528049375,-111.65084838867188
24460,2379,93.84292602539062,-2.3103597999999996,9.339699745178223,0.0009637434268370271,10,20,1223.0,24359,0.0008459126528049375,-103.04502868652344
29352,432,1.5263333320617676,-2.1701585416666664,15.025489807128906,0.001501437509432435,10,24,1223.0,29251,0.0008459126528049375,-93.53312683105469
34244,917,85.94918060302734,-2.086238071428571,4.77371883392334,0.0007083112723194063,10,28,1223.0,34143,0.0008459126528049375,-85.66162109375
39136,1403,29.250638961791992,-2.01432253125,1.5472455024719238,0.0006531501421704888,10,32,1223.0,39035,0.0008459126528049375,-77.57408142089844
44028,1887,-17.03061866760254,-1.9723646666666665,2.0316498279571533,0.0003849668428301811,10,36,1223.0,43927,0.0008459126528049375,-71.73056030273438
48920,2367,-54.55112075805664,-1.9070799999999999,1.7703297138214111,0.00023201608564704657,10,40,1223.0,48819,0.0008459126528049375,-63.472110748291016
53812,371,20.72119903564453,-1.8511502272727272,2.464409351348877,0.000535963976290077,10,44,1223.0,53711,0.0008459126528049375,-54.42885971069336
58704,848,96.70889282226562,-1.8047428541666666,41.854583740234375,0.0005461350665427744,10,48,1223.0,58603,0.0008459126528049375,-51.70698547363281
63596,1323,-14.389360427856445,-1.7638225384615385,4.174054145812988,0.00044831354171037674,10,52,1223.0,63495,0.0008459126528049375,-47.602420806884766
68488,1796,-25.884584426879883,-1.738944,0.7436171770095825,0.00028682532138191164,10,56,1223.0,68387,0.0008459126528049375,-44.50841522216797
73380,2275,20.37642478942871,-1.6976039333333335,157.58355712890625,0.0004109887813683599,10,60,1223.0,73279,0.0008459126528049375,-38.032596588134766
78272,329,75.58924865722656,-1.68147440625,0.6805797815322876,0.00034173112362623215,9,64,1223.0,78171,0.0008459126528049375,-38.37647247314453
83164,831,-8.500463485717773,-1.6502768823529412,1.609740972518921,0.0006732021574862301,9,68,1223.0,83063,0.0008459126528049375,-32.11227035522461
88056,1338,-10.281669616699219,-1.6264821805555556,6.492251396179199,0.0007121601956896484,9,72,1223.0,87955,0.0008459126528049375,-24.749858856201172
