rollout/ep_len_mean,train/critic_loss,time/time_elapsed,time/episodes,time/fps,train/ent_coef,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/ent_coef_loss,train/learning_rate,time/total_timesteps
1258.0,1.940590500831604,165,4,30,0.017440075054764748,-4.42930825,4931,-122.75928497314453,-160.36102294921875,0.0008459126528049375,5032
1258.0,5.292885780334473,334,8,30,0.0012047275668010116,-3.33843175,9963,-130.2415313720703,-28.122142791748047,0.0008459126528049375,10064
1258.0,5.343950271606445,503,12,29,0.0008303955546580255,-2.6459004999999998,14995,-129.6667022705078,27.527544021606445,0.0008459126528049375,15096
1258.0,3.6400020122528076,671,16,29,0.000974490656517446,-2.2654235,20027,-121.4365234375,-48.35321807861328,0.0008459126528049375,20128
1258.0,3.0333046913146973,5,20,29,0.000421869131969288,-2.07097775,25059,-118.52403259277344,12.70651912689209,0.0008459126528049375,25160
1258.0,3.6805830001831055,175,24,29,0.000678913202136755,-1.9405556666666666,30091,-112.95693969726562,30.781150817871094,0.0008459126528049375,30192
1258.0,1.9435980319976807,346,28,29,0.0006135526346042752,-1.8281868928571428,35123,-115.29621887207031,53.955406188964844,0.0008459126528049375,35224
1258.0,3.857067108154297,494,32,30,0.000892449461389333,-1.75243546875,40155,-90.20500946044922,46.57078552246094,0.0008459126528049375,40256
1258.0,3.4905710220336914,660,36,30,0.000434878165833652,-1.7062396666666666,45187,-84.01790618896484,91.53174591064453,0.0008459126528049375,45288
1258.0,4.307648658752441,7,40,42,0.000486929202452302,-1.6664879249999998,50219,-81.57081604003906,-46.10671615600586,0.0008459126528049375,50320
1258.0,4.313553333282471,130,44,40,0.000779527414124459,-1.629321909090909,55251,-73.72872924804688,61.77558517456055,0.0008459126528049375,55352
1258.0,2.8719894886016846,258,48,40,0.00048165806219913065,-1.5901787708333333,60283,-68.2015380859375,19.50501251220703,0.0008459126528049375,60384
1258.0,5.885563850402832,408,52,37,0.0002636968856677413,-1.57469525,65315,-63.93775177001953,-18.188072204589844,0.0008459126528049375,65416
1258.0,2.69968318939209,580,56,35,0.00041563535341992974,-1.5755413035714285,70347,-57.905723571777344,-1.7151168584823608,0.0008459126528049375,70448
1258.0,4.0579657554626465,16,60,28,0.00029912791796959937,-1.5654851166666668,75379,-52.730018615722656,-80.6987533569336,0.0008459126528049375,75480
1258.0,2.825540542602539,179,64,30,0.0003892061940860003,-1.54464425,80411,-45.30039978027344,38.81801986694336,0.0008459126528049375,80512
1258.0,1.339641809463501,366,68,28,0.0005321385688148439,-1.52244,85443,-48.55271530151367,-16.397310256958008,0.0008459126528049375,85544
1258.0,4.384153366088867,553,72,28,0.0006737962830811739,-1.5152009166666667,90475,-36.75849151611328,-32.98408508300781,0.0008459126528049375,90576
1258.0,4.752828121185303,741,76,27,0.00041028799023479223,-1.5044375789473683,95507,-31.424985885620117,61.13983917236328,0.0008459126528049375,95608
