rollout/ep_len_mean,train/critic_loss,time/time_elapsed,time/episodes,time/fps,train/ent_coef,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/ent_coef_loss,train/learning_rate,time/total_timesteps
1258.0,1.2332959175109863,130,4,38,0.017654472962021828,-4.52477875,4931,-123.47434997558594,-164.85540771484375,0.0008459126528049375,5032
1258.0,4.80626916885376,257,8,39,0.001168124726973474,-3.4510311249999996,9963,-131.38885498046875,-1.891290545463562,0.0008459126528049375,10064
1258.0,6.839937686920166,379,12,39,0.0006661902298219502,-2.7536734166666665,14995,-127.99186706542969,-7.200637340545654,0.0008459126528049375,15096
1258.0,3.993136405944824,499,16,40,0.0007839237223379314,-2.4007861875,20027,-121.16151428222656,-93.8039321899414,0.0008459126528049375,20128
1258.0,5.092251777648926,3,20,42,0.000883798929862678,-2.2017641,25059,-104.65434265136719,51.2053108215332,0.0008459126528049375,25160
1258.0,4.612200736999512,122,24,42,0.0008443009573966265,-2.03856025,30091,-100.78433990478516,-45.8358039855957,0.0008459126528049375,30192
1258.0,3.8594439029693604,241,28,42,0.0006343941204249859,-1.922696107142857,35123,-96.29375457763672,-67.7416763305664,0.0008459126528049375,35224
1258.0,3.688575267791748,360,32,42,0.0004366366483736783,-1.85293678125,40155,-90.78849029541016,-70.61214447021484,0.0008459126528049375,40256
1258.0,2.3759002685546875,479,36,42,0.0005791688454337418,-1.7809385277777774,45187,-85.97126770019531,17.039262771606445,0.0008459126528049375,45288
1258.0,4.682835578918457,7,40,42,0.0006486139027401805,-1.745765875,50219,-56.679412841796875,36.70027160644531,0.0008459126528049375,50320
1258.0,2.7252368927001953,126,44,42,0.0003753660130314529,-1.7168412272727274,55251,-52.467010498046875,36.65894317626953,0.0008459126528049375,55352
1258.0,4.03024435043335,246,48,42,0.00021282954548951238,-1.6842924166666666,60283,-46.819515228271484,-52.419891357421875,0.0008459126528049375,60384
1258.0,2.995929718017578,368,52,41,0.00020490838505793363,-1.6601544423076922,65315,-39.911338806152344,-79.35205841064453,0.0008459126528049375,65416
1258.0,5.969286918640137,495,56,41,0.0005103438743390143,-1.6347329464285714,70347,-34.1390266418457,1.46639883518219,0.0008459126528049375,70448
1258.0,2.810575246810913,13,60,36,0.0004891952266916633,-1.6190948,75379,-21.7342586517334,-13.51909351348877,0.0008459126528049375,75480
1258.0,3.3104710578918457,151,64,36,0.0006397570250555873,-1.611512796875,80411,-18.466304779052734,-34.45608139038086,0.0008459126528049375,80512
1258.0,3.317662000656128,289,68,36,0.00024293312162626535,-1.5979620735294118,85443,-9.497931480407715,27.45546531677246,0.0008459126528049375,85544
1258.0,3.972428560256958,427,72,36,0.000396508228732273,-1.5799886111111112,90475,-4.962412357330322,-75.1333999633789,0.0008459126528049375,90576
