time/episodes,time/fps,train/ent_coef_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
4,23,-163.41583251953125,0.0008459126528049375,211,-123.40545654296875,4931,0.017333127558231354,5032,1258.0,1.7583706378936768,-4.5123485
8,24,-73.60179901123047,0.0008459126528049375,417,-130.27902221679688,9963,0.0008965646848082542,10064,1258.0,5.253519058227539,-3.535277125
12,24,-21.940994262695312,0.0008459126528049375,626,-130.31387329101562,14995,0.000700388103723526,15096,1258.0,2.3044657707214355,-2.7786413333333333
16,23,-34.279300689697266,0.0008459126528049375,840,-114.44534301757812,20027,0.0016340523725375533,20128,1258.0,5.1258039474487305,-2.395876625
20,28,17.465322494506836,0.0008459126528049375,5,-107.61601257324219,25059,0.0008850539452396333,25160,1258.0,1.538388967514038,-2.19958075
24,28,-31.97081184387207,0.0008459126528049375,182,-103.01683044433594,30091,0.000632632349152118,30192,1258.0,2.3135037422180176,-2.079406375
28,28,40.506492614746094,0.0008459126528049375,354,-99.36644744873047,35123,0.0007208099123090506,35224,1258.0,2.1483044624328613,-1.9682020357142858
32,27,-55.698673248291016,0.0008459126528049375,545,-94.26092529296875,40155,0.00040366750909015536,40256,1258.0,2.0026021003723145,-1.9159003437500002
36,26,30.815105438232422,0.0008459126528049375,752,-87.15077209472656,45187,0.0004887219402007759,45288,1258.0,2.8455209732055664,-1.8668673055555556
40,30,5.80972146987915,0.0008459126528049375,10,-84.52635955810547,50219,0.0005779968341812491,50320,1258.0,2.1091697216033936,-1.8066872500000002
44,30,0.6941890716552734,0.0008459126528049375,172,-84.36834716796875,55251,0.0003734361089300364,55352,1258.0,6.308378219604492,-1.7635052954545456
48,29,54.720550537109375,0.0008459126528049375,357,-79.6362075805664,60283,0.0003951006510760635,60384,1258.0,1.3670252561569214,-1.7205461875
52,27,33.378902435302734,0.0008459126528049375,560,-77.47135162353516,65315,0.0007243920117616653,65416,1258.0,14.225665092468262,-1.682793346153846
56,27,-11.151986122131348,0.0008459126528049375,757,-76.01079559326172,70347,0.0008024285780265927,70448,1258.0,37.591121673583984,-1.664481
60,23,-0.330973744392395,0.0008459126528049375,20,-68.24365997314453,75379,0.00044508487917482853,75480,1258.0,8.067344665527344,-1.6345612333333335
64,23,-10.497467041015625,0.0008459126528049375,229,-63.17472839355469,80411,0.0005261581973172724,80512,1258.0,4.324479103088379,-1.604077296875
68,23,-14.578470230102539,0.0008459126528049375,445,-66.14986419677734,85443,0.0007125202682800591,85544,1258.0,1.0896124839782715,-1.5863696911764702
72,23,-34.36814880371094,0.0008459126528049375,661,-62.28944778442383,90475,0.0007484180387109518,90576,1258.0,4.410574913024902,-1.5653084027777777
76,23,-71.80091094970703,0.0008459126528049375,882,-64.32814025878906,95507,0.0005991685320623219,95608,1258.0,3.5294852256774902,-1.5428995131578946
