time/episodes,time/fps,train/ent_coef_loss,train/learning_rate,time/time_elapsed,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
4,30,-169.24520874023438,0.0008459126528049375,166,-123.76203918457031,4931,0.017535153776407242,5032,1258.0,2.189375400543213,-4.3555607499999995
8,29,-50.327545166015625,0.0008459126528049375,342,-129.0303955078125,9963,0.001189389149658382,10064,1258.0,5.123254299163818,-3.48655575
12,29,-65.36385345458984,0.0008459126528049375,504,-115.97315979003906,14995,0.0010810823878273368,15096,1258.0,5.8685760498046875,-2.8060891666666667
16,30,45.76138687133789,0.0008459126528049375,668,-105.97247314453125,20027,0.0016976140905171633,20128,1258.0,10.008049011230469,-2.4635911249999998
20,25,-54.44767761230469,0.0008459126528049375,6,-100.72431945800781,25059,0.0008095377124845982,25160,1258.0,7.487521171569824,-2.2512321999999996
24,29,37.88347625732422,0.0008459126528049375,173,-93.89166259765625,30091,0.0004817285807803273,30192,1258.0,5.196018218994141,-2.0755743333333334
28,29,75.08552551269531,0.0008459126528049375,347,-94.26641082763672,35123,0.0004028045805171132,35224,1258.0,1.5113039016723633,-1.952635357142857
32,29,39.40385055541992,0.0008459126528049375,508,-88.02883911132812,40155,0.00034151008003391325,40256,1258.0,1.4851720333099365,-1.86773878125
36,30,60.682926177978516,0.0008459126528049375,669,-85.70462799072266,45187,0.0004169454623479396,45288,1258.0,5.309734344482422,-1.7747685555555555
40,26,-47.30452346801758,0.0008459126528049375,12,-82.30392456054688,50219,0.00022328989871311933,50320,1258.0,1.2572814226150513,-1.7339069999999999
44,26,-22.238222122192383,0.0008459126528049375,204,-81.22207641601562,55251,0.0010666060261428356,55352,1258.0,2.080174446105957,-1.6919724090909087
48,26,4.234174728393555,0.0008459126528049375,386,-77.69898986816406,60283,0.0010387456277385354,60384,1258.0,5.942945957183838,-1.6520464583333332
52,26,-10.022574424743652,0.0008459126528049375,579,-73.4264144897461,65315,0.000540279143024236,65416,1258.0,3.3030176162719727,-1.6148173846153844
56,26,-55.59897994995117,0.0008459126528049375,771,-66.5339584350586,70347,0.0004136339121032506,70448,1258.0,4.375278949737549,-1.5885389642857142
60,30,16.55713653564453,0.0008459126528049375,15,-55.882564544677734,75379,0.0008696360746398568,75480,1258.0,5.484539031982422,-1.5674088333333331
64,30,-30.236841201782227,0.0008459126528049375,181,-59.08259201049805,80411,0.001431125681847334,80512,1258.0,30.74443244934082,-1.55214478125
68,32,-25.433433532714844,0.0008459126528049375,328,-46.902225494384766,85443,0.0008866311982274055,85544,1258.0,2.8102519512176514,-1.5316687352941176
72,33,-39.76713180541992,0.0008459126528049375,461,-48.20114517211914,90475,0.0013596671633422375,90576,1258.0,5.35305118560791,-1.504930402777778
76,34,-39.75435256958008,0.0008459126528049375,592,-34.53892135620117,95507,0.0016673095524311066,95608,1258.0,30.423261642456055,-1.4969711184210528
