rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/ent_coef
1257.0,188,1.924593448638916,4927,-121.1207275390625,-174.8960418701172,4,26,-4.71935575,0.0008459126528049375,5028,0.017332499846816063
1257.0,363,5.423788070678711,9955,-121.66312408447266,-30.408279418945312,8,27,-3.607723,0.0008459126528049375,10056,0.0011034914059564471
1257.0,534,10.987329483032227,14983,-111.49432373046875,-25.032503128051758,12,28,-2.815485583333333,0.0008459126528049375,15084,0.0010144852567464113
1257.0,690,3.8965530395507812,20011,-113.06575775146484,-15.182414054870605,16,29,-2.444164625,0.0008459126528049375,20112,0.001079163863323629
1257.0,4,3.8317718505859375,25039,-82.44429016113281,-43.70600128173828,20,32,-2.23192685,0.0008459126528049375,25140,0.0011488866293802857
1257.0,160,27.85494613647461,30067,-65.70260620117188,210.07049560546875,24,32,-2.104708583333333,0.0008459126528049375,30168,0.0011505960719659925
1257.0,316,3.7950334548950195,35095,-62.21687698364258,-63.34271240234375,28,32,-2.015629035714286,0.0008459126528049375,35196,0.0006276454078033566
1257.0,472,1.115275263786316,40123,-53.688262939453125,6.021283149719238,32,32,-1.92404425,0.0008459126528049375,40224,0.000368440814781934
1257.0,629,0.607719898223877,45151,-48.77671432495117,5.70517635345459,36,32,-1.8785111944444444,0.0008459126528049375,45252,0.00020618096459656954
1257.0,8,3.0009043216705322,50179,-38.687652587890625,-17.351730346679688,40,32,-1.816647175,0.0008459126528049375,50280,0.00042945786844938993
1257.0,164,0.8626850247383118,55207,-36.08993911743164,103.95755004882812,44,32,-1.7878880454545452,0.0008459126528049375,55308,0.0002145736652892083
1257.0,320,2.7957167625427246,60235,-28.04343605041504,-104.84120178222656,48,32,-1.7438005208333334,0.0008459126528049375,60336,0.0006704762345179915
1257.0,501,1.0472925901412964,65263,-21.71578598022461,-53.02662658691406,52,30,-1.7238504615384613,0.0008459126528049375,65364,0.00035814361763186753
1257.0,697,4.38909912109375,70291,-9.386693954467773,-45.66139602661133,56,29,-1.6865434821428573,0.0008459126528049375,70392,0.0015208465047180653
1257.0,13,1.2282978296279907,75319,-1.609740972518921,37.70173645019531,60,30,-1.6804502000000001,0.0008459126528049375,75420,0.000343188236001879
1257.0,179,1.4774584770202637,80347,1.4942655563354492,-60.796871185302734,64,30,-1.668705109375,0.0008459126528049375,80448,0.0003301842953078449
1257.0,348,2.2115116119384766,85375,13.418708801269531,-30.44443130493164,68,30,-1.6594458382352941,0.0008459126528049375,85476,0.0003231263835914433
1257.0,550,4.294133186340332,90403,30.5084171295166,-86.39482116699219,72,28,-1.6678412916666667,0.0008459126528049375,90504,0.0007413275889120996
1257.0,759,3.483297824859619,95431,40.978092193603516,-70.36273193359375,76,27,-1.6688179210526317,0.0008459126528049375,95532,0.000365809362847358
