time/total_timesteps,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/critic_loss,time/episodes,train/actor_loss,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/ent_coef
5028,-159.5125732421875,-4.63681,23,1.932102918624878,4,-120.50880432128906,209,0.0008459126528049375,1257.0,4927,0.0174507237970829
10056,1.5554673671722412,-3.588458125,23,2.9716203212738037,8,-122.72367858886719,419,0.0008459126528049375,1257.0,9955,0.0015777393709868193
15084,127.77405548095703,-2.9715832499999997,23,5.804043769836426,12,-119.07688903808594,640,0.0008459126528049375,1257.0,14983,0.0007473952136933804
20112,75.43260192871094,-2.6236950625,23,1.826406478881836,16,-100.18858337402344,850,0.0008459126528049375,1257.0,20011,0.0006862857844680548
25140,41.831146240234375,-2.4366663,23,3.14143967628479,20,-79.96890258789062,6,0.0008459126528049375,1257.0,25039,0.0009875416290014982
30168,6.180168151855469,-2.2959683333333336,24,1.2456119060516357,24,-76.22391510009766,214,0.0008459126528049375,1257.0,30067,0.00041985270217992365
35196,-12.483007431030273,-2.1610132857142856,24,3.1491005420684814,28,-73.02767944335938,423,0.0008459126528049375,1257.0,35095,0.00036290063872002065
40224,-40.788265228271484,-2.05335284375,24,5.873766899108887,32,-67.02526092529297,633,0.0008459126528049375,1257.0,40123,0.0005288581596687436
45252,-8.872345924377441,-1.968138777777778,23,10.834357261657715,36,-51.12747573852539,855,0.0008459126528049375,1257.0,45151,0.0012578769819810987
50280,-64.42227172851562,-1.9365689250000002,23,4.321314811706543,40,-47.77317428588867,11,0.0008459126528049375,1257.0,50179,0.0007948355050757527
55308,-15.498846054077148,-1.918382886363637,23,2.7486581802368164,44,-44.952842712402344,228,0.0008459126528049375,1257.0,55207,0.00042815334745682776
60336,-2.326617479324341,-1.8843380833333334,20,3.3377652168273926,48,-36.82419204711914,504,0.0008459126528049375,1257.0,60235,0.0008332732832059264
65364,-28.788536071777344,-1.8471857692307692,19,7.517949104309082,52,-31.19826316833496,795,0.0008459126528049375,1257.0,65263,0.0008241278701461852
70392,5.25508975982666,-1.818171607142857,19,12.083630561828613,56,-29.29693603515625,1059,0.0008459126528049375,1257.0,70291,0.0008855812484398484
75420,-103.60862731933594,-1.8067475000000002,19,9.712212562561035,60,-19.973257064819336,21,0.0008459126528049375,1257.0,75319,0.00048092161887325346
80448,27.439674377441406,-1.7957479062500001,19,3.511927604675293,64,-18.381425857543945,284,0.0008459126528049375,1257.0,80347,0.0005105271702632308
85476,12.974820137023926,-1.775109485294118,19,17.7750301361084,68,-9.229255676269531,548,0.0008459126528049375,1257.0,85375,0.0007990166777744889
