time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,time/fps,train/n_updates,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/ent_coef,time/episodes,time/time_elapsed
5032,0.0008459126528049375,-5.145127,-124.10337829589844,70,4931,-168.94064331054688,1258.0,2.152543067932129,0.0171849112957716,4,71
10064,0.0008459126528049375,-4.1656145,-131.9588623046875,70,9963,-26.05815887451172,1258.0,4.789401054382324,0.0009122246410697699,8,143
15096,0.0008459126528049375,-3.364516666666667,-125.44154357910156,69,14995,-18.922868728637695,1258.0,4.600218772888184,0.0008046121220104396,12,216
20128,0.0008459126528049375,-3.0618996875000004,-113.83186340332031,69,20027,-50.38323974609375,1258.0,6.2572760581970215,0.0007752633537165821,16,289
25160,0.0008459126528049375,-2.8388467000000004,-111.78034210205078,68,25059,-48.95866012573242,1258.0,5.459319114685059,0.0006774957873858511,20,2
30192,0.0008459126528049375,-2.67683075,-107.60283660888672,68,30091,-6.765321731567383,1258.0,2.2139978408813477,0.00041583040729165077,24,75
35224,0.0008459126528049375,-2.5632814642857147,-108.09535217285156,68,35123,54.232608795166016,1258.0,1.3400583267211914,0.0005077251116745174,28,148
40256,0.0008459126528049375,-2.46193875,-73.6719970703125,68,40155,3.8989334106445312,1258.0,3.7763705253601074,0.0005730559932999313,32,222
45288,0.0008459126528049375,-2.374654,-71.67367553710938,68,45187,-8.356497764587402,1258.0,3.225480079650879,0.0002979847486130893,36,295
50320,0.0008459126528049375,-2.29741875,-59.040897369384766,68,50219,17.882089614868164,1258.0,2.4315364360809326,0.00038519749068655074,40,4
55352,0.0008459126528049375,-2.278811727272727,-52.938438415527344,68,55251,-20.044681549072266,1258.0,1.5459569692611694,0.0003763696877285838,44,77
60384,0.0008459126528049375,-2.2417848125,-48.51396942138672,69,60283,95.54244232177734,1258.0,2.81193208694458,0.00031917187152430415,48,150
65416,0.0008459126528049375,-2.204511692307692,-39.7601203918457,69,65315,-100.14723205566406,1258.0,2.1685690879821777,0.0002885370049625635,52,221
70448,0.0008459126528049375,-2.1690254285714285,-36.73777770996094,69,70347,-7.290905952453613,1258.0,6.082486629486084,0.0003150950069539249,56,293
75480,0.0008459126528049375,-2.130943316666667,-33.80857849121094,67,75379,-9.962691307067871,1258.0,2.0094668865203857,0.00030829437309876084,60,7
80512,0.0008459126528049375,-2.1098098125,-23.674171447753906,67,80411,21.69480323791504,1258.0,2.899442672729492,0.00046682075480930507,64,82
85544,0.0008459126528049375,-2.0891712794117647,-13.087563514709473,67,85443,-61.25014114379883,1258.0,4.502022743225098,0.0006717370706610382,68,156
90576,0.0008459126528049375,-2.0692225555555557,2.43617582321167,67,90475,-78.31013488769531,1258.0,4.581104755401611,0.00044325643102638423,72,230
95608,0.0008459126528049375,-2.0596994605263164,10.553632736206055,67,95507,-72.77222442626953,1258.0,7.073216438293457,0.0009556664153933525,76,305
