time/episodes,train/ent_coef,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates
4,0.01704052835702896,2.11309552192688,0.0008459126528049375,-5.329065249999999,1257.0,-170.79208374023438,-120.10916900634766,5028,65,76,4927
8,0.0009046359336934984,24.152782440185547,0.0008459126528049375,-4.163259875,1257.0,78.663330078125,-122.76373291015625,10056,65,153,9955
12,0.0010756381088867784,4.187522888183594,0.0008459126528049375,-3.46878225,1257.0,-37.42918395996094,-115.31502532958984,15084,65,230,14983
16,0.0015623561339452863,3.289736747741699,0.0008459126528049375,-3.0387074375,1257.0,-12.69247055053711,-100.66883850097656,20112,65,307,20011
20,0.000768012716434896,3.1554529666900635,0.0008459126528049375,-2.8192835,1257.0,74.13935852050781,-93.49990844726562,25140,64,2,25039
24,0.0009703795076347888,3.763014316558838,0.0008459126528049375,-2.6488050416666664,1257.0,-7.923062801361084,-83.49159240722656,30168,65,79,30067
28,0.0006064311019144952,1.6738567352294922,0.0008459126528049375,-2.555030857142857,1257.0,-53.01011276245117,-82.26362609863281,35196,66,154,35095
32,0.00032670184737071395,2.6509127616882324,0.0008459126528049375,-2.476716875,1257.0,-7.46681022644043,-66.10983276367188,40224,66,229,40123
36,0.00024128409859258682,0.9798421859741211,0.0008459126528049375,-2.4159066944444447,1257.0,-41.98081588745117,-62.7492790222168,45252,66,305,45151
40,0.0001788738154573366,0.5293629169464111,0.0008459126528049375,-2.377056,1257.0,13.214675903320312,-49.71636199951172,50280,66,4,50179
44,0.0002447619044687599,1.11586332321167,0.0008459126528049375,-2.3119437954545456,1257.0,-2.147970199584961,-44.66421127319336,55308,65,80,55207
48,0.000574979349039495,1.9150391817092896,0.0008459126528049375,-2.2811702708333335,1257.0,-14.548118591308594,-33.05391311645508,60336,65,156,60235
52,0.0003908385115209967,1.6851463317871094,0.0008459126528049375,-2.267010230769231,1257.0,25.028579711914062,-29.816579818725586,65364,65,233,65263
56,0.0024915537796914577,41.656097412109375,0.0008459126528049375,-2.2393495357142856,1257.0,156.9545440673828,-14.142650604248047,70392,65,310,70291
60,0.0005448495503515005,9.140792846679688,0.0008459126528049375,-2.232844783333334,1257.0,-79.41496276855469,-12.353670120239258,75420,63,6,75319
64,0.0008275281870737672,2.420065402984619,0.0008459126528049375,-2.235178453125,1257.0,-7.723256587982178,-9.038790702819824,80448,62,86,80347
68,0.0010730162030085921,2.231137752532959,0.0008459126528049375,-2.231941558823529,1257.0,-22.117752075195312,-0.29078659415245056,85476,62,167,85375
72,0.0006829605554230511,3.2304399013519287,0.0008459126528049375,-2.224692791666667,1257.0,5.037858963012695,3.1823296546936035,90504,62,247,90403
76,0.0007084555109031498,5.318990230560303,0.0008459126528049375,-2.2088639605263163,1257.0,42.13279724121094,11.961644172668457,95532,62,328,95431
