time/episodes,train/ent_coef,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates
4,0.017175989225506783,2.53399658203125,0.0008459126528049375,-5.23337975,1257.0,-171.47686767578125,-121.15355682373047,5028,70,71,4927
8,0.001307960133999586,2.4976794719696045,0.0008459126528049375,-4.065167125,1257.0,-98.10498809814453,-124.7121353149414,10056,69,144,9955
12,0.0007821590988896787,2.948087453842163,0.0008459126528049375,-3.354800666666667,1257.0,5.195192813873291,-115.04704284667969,15084,69,218,14983
16,0.001477239653468132,12.523597717285156,0.0008459126528049375,-3.0047521875,1257.0,149.03521728515625,-94.84039306640625,20112,69,291,20011
20,0.0007639842806383967,2.0614593029022217,0.0008459126528049375,-2.8163329999999998,1257.0,29.96816062927246,-93.89232635498047,25140,69,2,25039
24,0.0010224682046100497,9.733832359313965,0.0008459126528049375,-2.65353775,1257.0,220.8129119873047,-62.57304763793945,30168,68,75,30067
28,0.0006681164959445596,1.2032101154327393,0.0008459126528049375,-2.549873178571428,1257.0,61.47650146484375,-58.84767532348633,35196,68,149,35095
32,0.00018646821263246238,0.859785795211792,0.0008459126528049375,-2.4978534999999997,1257.0,53.532958984375,-58.61696243286133,40224,68,222,40123
36,0.00018460045976098627,0.7954689860343933,0.0008459126528049375,-2.4799495833333327,1257.0,-37.08148956298828,-56.89046859741211,45252,68,295,45151
40,0.0004111391317564994,1.1851701736450195,0.0008459126528049375,-2.4345503,1257.0,-43.432613372802734,-49.4097900390625,50280,68,4,50179
44,0.0007828008383512497,2.6004672050476074,0.0008459126528049375,-2.3755915227272726,1257.0,-79.77720642089844,-34.6887321472168,55308,68,77,55207
48,0.00042020739056169987,0.7101118564605713,0.0008459126528049375,-2.349784645833333,1257.0,4.217989444732666,-32.13225555419922,60336,68,150,60235
52,0.0005236485158093274,1.3061360120773315,0.0008459126528049375,-2.318027673076923,1257.0,-57.320068359375,-21.61147689819336,65364,68,224,65263
56,0.00022467040980700403,0.7424172163009644,0.0008459126528049375,-2.301973821428571,1257.0,-12.034536361694336,-18.517234802246094,70392,68,298,70291
60,0.00022885663202032447,1.4065974950790405,0.0008459126528049375,-2.274175899999999,1257.0,-60.0999755859375,-5.798895835876465,75420,66,6,75319
64,0.00025302349240519106,1.7207119464874268,0.0008459126528049375,-2.2555851562500004,1257.0,-51.25154113769531,3.6711084842681885,80448,65,83,80347
68,0.0004088166751898825,0.998986005783081,0.0008459126528049375,-2.235973691176471,1257.0,-36.3852424621582,7.908412456512451,85476,64,161,85375
