rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef,time/fps,train/n_updates,train/critic_loss,time/total_timesteps,train/actor_loss,time/time_elapsed,train/ent_coef_loss,train/learning_rate
-4.29890025,4,1258.0,0.017560197040438652,26,4931,1.2587692737579346,5032,-122.88583374023438,190,-161.06674194335938,0.0008459126528049375
-3.3272193750000003,8,1258.0,0.0008720640325918794,23,9963,8.932647705078125,10064,-129.4283447265625,423,37.665714263916016,0.0008459126528049375
-2.7182005,12,1258.0,0.0009769429452717304,23,14995,3.596658229827881,15096,-132.47268676757812,631,-24.17902946472168,0.0008459126528049375
-2.3699871875000005,16,1258.0,0.0011909446911886334,24,20027,3.166825294494629,20128,-122.56304168701172,823,-86.23939514160156,0.0008459126528049375
-2.1431161500000004,20,1258.0,0.0009417878463864326,24,25059,4.709657669067383,25160,-111.4036865234375,6,-21.150283813476562,0.0008459126528049375
-1.954218125,24,1258.0,0.0005484445719048381,27,30091,2.5760209560394287,30192,-106.32791900634766,191,63.9793815612793,0.0008459126528049375
-1.8269321785714285,28,1258.0,0.0004540475783869624,27,35123,3.9611220359802246,35224,-104.21466827392578,371,-30.882835388183594,0.0008459126528049375
-1.7666941875000002,32,1258.0,0.0005123242153786123,27,40155,7.182456016540527,40256,-99.90650939941406,547,14.878451347351074,0.0008459126528049375
-1.7157659722222223,36,1258.0,0.00025094530428759754,27,45187,0.9315714836120605,45288,-93.38268280029297,749,-41.81177520751953,0.0008459126528049375
-1.66331575,40,1258.0,0.0011558294063434005,25,50219,6.9608354568481445,50320,-78.23249816894531,12,-36.521080017089844,0.0008459126528049375
-1.6190617727272725,44,1258.0,0.0005657057045027614,25,55251,2.4121971130371094,55352,-70.78225708007812,208,16.974109649658203,0.0008459126528049375
-1.586485125,48,1258.0,0.00047970248851925135,27,60283,3.785165786743164,60384,-61.335174560546875,378,-31.346067428588867,0.0008459126528049375
-1.5555851153846154,52,1258.0,0.0005231710383668542,26,65315,4.623734951019287,65416,-54.93037796020508,576,-59.15027618408203,0.0008459126528049375
-1.5452762500000001,56,1258.0,0.00032680280855856836,26,70347,3.39290189743042,70448,-50.57986068725586,778,-33.73567199707031,0.0008459126528049375
-1.5171347833333335,60,1258.0,0.00017308381211478263,29,75379,1.4523510932922363,75480,-44.528411865234375,16,-49.82547378540039,0.0008459126528049375
-1.497648296875,64,1258.0,0.00040068087400868535,28,80411,2.394009590148926,80512,-31.222558975219727,190,12.842626571655273,0.0008459126528049375
-1.4806906176470587,68,1258.0,0.0005935978842899203,28,85443,5.883365631103516,85544,-33.8255500793457,376,-68.11392211914062,0.0008459126528049375
-1.4608539722222222,72,1258.0,0.0005823831888847053,26,90475,4.762319564819336,90576,-28.361303329467773,585,-18.844785690307617,0.0008459126528049375
-1.4472445657894737,76,1258.0,0.0006366648012772202,26,95507,3.719022274017334,95608,-20.932371139526367,783,-40.33797836303711,0.0008459126528049375
