time/episodes,rollout/ep_rew_mean,train/n_updates,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
4,-4.349979749999999,4927,1.431104063987732,1257.0,75,-119.28861236572266,0.0008459126528049375,66,5028,-173.753173828125,0.016883032396435738
8,-3.3587389999999995,9955,3.0101165771484375,1257.0,153,-124.8110580444336,0.0008459126528049375,65,10056,12.825235366821289,0.0008415468619205058
12,-2.637825666666666,14983,5.065793037414551,1257.0,231,-112.21400451660156,0.0008459126528049375,65,15084,-21.934768676757812,0.0013344805920496583
16,-2.3351803749999998,20011,1.7251272201538086,1257.0,308,-109.6472396850586,0.0008459126528049375,65,20112,64.59430694580078,0.0004260465211700648
20,-2.1385466499999994,25039,4.680149555206299,1257.0,2,-105.3377914428711,0.0008459126528049375,67,25140,-45.83042907714844,0.0007898483308963478
24,-1.9521774166666666,30067,1.680485725402832,1257.0,78,-98.48576354980469,0.0008459126528049375,66,30168,-11.023377418518066,0.0007004545768722892
28,-1.8441208928571429,35095,5.266866207122803,1257.0,154,-78.97158813476562,0.0008459126528049375,66,35196,-94.7455062866211,0.0011441593524068594
32,-1.77959184375,40123,2.1586825847625732,1257.0,229,-73.63025665283203,0.0008459126528049375,66,40224,50.73950958251953,0.0004917686455883086
36,-1.7323932222222223,45151,4.500619411468506,1257.0,304,-56.01655960083008,0.0008459126528049375,66,45252,-29.256053924560547,0.0005727573879994452
40,-1.7065277,50179,2.9534740447998047,1257.0,4,-52.40971755981445,0.0008459126528049375,67,50280,53.47171401977539,0.000674614158924669
44,-1.6745634090909094,55207,2.7843074798583984,1257.0,79,-43.066009521484375,0.0008459126528049375,67,55308,-24.564472198486328,0.00043480246677063406
48,-1.6455388541666667,60235,3.7266926765441895,1257.0,152,-39.52254867553711,0.0008459126528049375,67,60336,24.02857208251953,0.0005742792855016887
52,-1.6443909615384618,65263,6.794924736022949,1257.0,227,-38.99939727783203,0.0008459126528049375,67,65364,84.4081039428711,0.000456318783108145
56,-1.6269341607142855,70291,6.239071369171143,1257.0,303,-32.49433898925781,0.0008459126528049375,67,70392,-87.36283874511719,0.0007947108242660761
60,-1.6007999666666666,75319,2.8555426597595215,1257.0,6,-31.315214157104492,0.0008459126528049375,61,75420,-62.301300048828125,0.0009439206914976239
64,-1.5859941718750001,80347,11.681133270263672,1257.0,89,-29.2507381439209,0.0008459126528049375,60,80448,0.7558451890945435,0.0009713160688988864
68,-1.5690212941176471,85375,6.386573791503906,1257.0,172,-17.935115814208984,0.0008459126528049375,60,85476,-31.232419967651367,0.0005936899106018245
72,-1.5430442638888888,90403,6.243039131164551,1257.0,255,-8.410266876220703,0.0008459126528049375,60,90504,-14.488637924194336,0.0006798510439693928
76,-1.5299484605263156,95431,18.656768798828125,1257.0,339,0.8409588932991028,0.0008459126528049375,60,95532,-45.53837966918945,0.0013566795969381928
