train/n_updates,time/time_elapsed,time/episodes,train/actor_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/critic_loss,time/fps,rollout/ep_len_mean
4931,262,4,-122.81124877929688,-163.08450317382812,0.017623571678996086,-4.545186,5032,0.0008459126528049375,1.262814998626709,19,1258.0
9963,520,8,-129.33123779296875,-23.338626861572266,0.000832094403449446,-3.57033675,10064,0.0008459126528049375,8.881507873535156,19,1258.0
14995,786,12,-132.8700408935547,-35.998695373535156,0.0008019565721042454,-2.899815,15096,0.0008459126528049375,3.3576622009277344,19,1258.0
20027,1040,16,-126.58842468261719,-0.21059748530387878,0.000502146955113858,-2.58446875,20128,0.0008459126528049375,8.120992660522461,19,1258.0
25059,8,20,-126.67349243164062,42.15430450439453,0.0005010436289012432,-2.4192753500000004,25160,0.0008459126528049375,2.4606435298919678,18,1258.0
30091,268,24,-121.37794494628906,-14.477238655090332,0.0005806119297631085,-2.262075916666667,30192,0.0008459126528049375,4.944597244262695,19,1258.0
35123,533,28,-119.81980895996094,15.742212295532227,0.0004756386042572558,-2.1299880714285715,35224,0.0008459126528049375,2.84047269821167,19,1258.0
40155,794,32,-117.65564727783203,40.9327278137207,0.0005876406212337315,-2.0481024375,40256,0.0008459126528049375,2.0725088119506836,19,1258.0
45187,1051,36,-109.59915924072266,-23.95637321472168,0.00021858613763470203,-1.9921271111111112,45288,0.0008459126528049375,1.9162912368774414,19,1258.0
50219,15,40,-90.39936828613281,-59.1148681640625,0.0006658475613221526,-1.93729065,50320,0.0008459126528049375,3.944399118423462,20,1258.0
55251,273,44,-83.83087921142578,-80.28424835205078,0.0006042120512574911,-1.9222543409090904,55352,0.0008459126528049375,3.072056531906128,19,1258.0
60283,532,48,-76.51950073242188,32.59493637084961,0.00046007955097593367,-1.8820691041666666,60384,0.0008459126528049375,2.152897834777832,19,1258.0
65315,775,52,-72.84703063964844,12.519142150878906,0.0007119565270841122,-1.8901320000000001,65416,0.0008459126528049375,21.315349578857422,19,1258.0
70347,1020,56,-69.69831848144531,-49.1028938293457,0.0008409880683757365,-1.8657292321428574,70448,0.0008459126528049375,2.379032611846924,20,1258.0
75379,22,60,-62.25529479980469,-41.430152893066406,0.000868791772518307,-1.8413226666666669,75480,0.0008459126528049375,3.2739343643188477,20,1258.0
80411,281,64,-46.99091720581055,-60.09421157836914,0.0007149369921535254,-1.809065125,80512,0.0008459126528049375,3.531928062438965,19,1258.0
85443,548,68,-55.10126876831055,-6.556615352630615,0.00040374777745455503,-1.7846841029411764,85544,0.0008459126528049375,5.148024082183838,19,1258.0
90475,816,72,-44.96906280517578,-18.943403244018555,0.0008896724320948124,-1.7679174583333335,90576,0.0008459126528049375,3.9990320205688477,19,1258.0
95507,1085,76,-33.60713195800781,-8.392024040222168,0.0009958980372175574,-1.7619201447368418,95608,0.0008459126528049375,4.990433692932129,18,1258.0
