train/n_updates,time/time_elapsed,time/episodes,train/actor_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/critic_loss,time/fps,rollout/ep_len_mean
4931,229,4,-123.00526428222656,-163.09170532226562,0.016975728794932365,-4.56550325,5032,0.0008459126528049375,2.1296286582946777,21,1258.0
9963,480,8,-127.53123474121094,4.84029483795166,0.0009940681047737598,-3.5543868749999996,10064,0.0008459126528049375,4.368259429931641,20,1258.0
14995,721,12,-117.17789459228516,77.243896484375,0.0008725457009859383,-2.9581409166666663,15096,0.0008459126528049375,11.45461654663086,20,1258.0
20027,960,16,-109.48979187011719,-28.141437530517578,0.0007303851307369769,-2.6771091875,20128,0.0008459126528049375,3.147676467895508,20,1258.0
25059,7,20,-99.66996765136719,-25.763702392578125,0.00046499879681505263,-2.459037,25160,0.0008459126528049375,2.69539213180542,21,1258.0
30091,258,24,-93.89859008789062,-29.34381103515625,0.0007575922645628452,-2.2868207083333334,30192,0.0008459126528049375,3.4728949069976807,20,1258.0
35123,497,28,-93.8372573852539,39.22198486328125,0.0006272795144468546,-2.1786818214285715,35224,0.0008459126528049375,6.761506080627441,20,1258.0
40155,736,32,-85.1898422241211,-32.34331512451172,0.0008880914538167417,-2.0804436875,40256,0.0008459126528049375,1.6439369916915894,20,1258.0
45187,974,36,-54.484127044677734,-36.22768020629883,0.0004590940661728382,-2.035420527777778,45288,0.0008459126528049375,2.2962498664855957,20,1258.0
50219,14,40,-49.15338897705078,50.81725311279297,0.00033422233536839485,-1.993306425,50320,0.0008459126528049375,2.1255362033843994,21,1258.0
55251,259,44,-44.45286178588867,-54.59748458862305,0.00035787609522230923,-1.9495095,55352,0.0008459126528049375,2.342601776123047,20,1258.0
60283,501,48,-42.73828887939453,19.800256729125977,0.0003747004084289074,-1.9076635208333332,60384,0.0008459126528049375,2.296870708465576,20,1258.0
65315,751,52,-35.275115966796875,-85.9666748046875,0.0005463944980874658,-1.8676959038461538,65416,0.0008459126528049375,1.7538621425628662,20,1258.0
70347,1000,56,-31.681289672851562,-15.007197380065918,0.0006007958436384797,-1.836732357142857,70448,0.0008459126528049375,1.1969155073165894,20,1258.0
75379,22,60,-26.38608741760254,-73.6969985961914,0.00032107598963193595,-1.7979518833333332,75480,0.0008459126528049375,2.69932222366333,21,1258.0
80411,271,64,-20.28097152709961,-73.59059143066406,0.0006760007236152887,-1.766140984375,80512,0.0008459126528049375,2.537472724914551,20,1258.0
85443,524,68,-12.989200592041016,118.56753540039062,0.0011263724882155657,-1.7466137058823528,85544,0.0008459126528049375,19.5980224609375,20,1258.0
