rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/n_updates,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,time/time_elapsed
1258.0,0.01728181168437004,-4.9884045,5032,4,-171.67379760742188,4931,32,-121.66309356689453,0.0008459126528049375,3.196695327758789,153
1258.0,0.0007970189326442778,-4.0197861249999995,10064,8,-26.948505401611328,9963,32,-130.9822540283203,0.0008459126528049375,5.084012031555176,309
1258.0,0.0005502161220647395,-3.36584925,15096,12,53.6405143737793,14995,32,-126.1849594116211,0.0008459126528049375,69.04918670654297,466
1258.0,0.0008054609061218798,-2.985365875,20128,16,39.65879821777344,20027,32,-103.65668487548828,0.0008459126528049375,9.041168212890625,626
1258.0,0.0007806273642927408,-2.75863235,25160,20,-44.309791564941406,25059,30,-99.5169448852539,0.0008459126528049375,2.1946628093719482,5
1258.0,0.000599480583332479,-2.5862854583333337,30192,24,-34.19826889038086,30091,30,-86.20603942871094,0.0008459126528049375,2.328418016433716,169
1258.0,0.0003636486071627587,-2.452976107142857,35224,28,-8.618739128112793,35123,30,-81.80685424804688,0.0008459126528049375,1.019796371459961,332
1258.0,0.0003529154055286199,-2.4173597187499998,40256,32,-97.95638275146484,40155,30,-81.39037322998047,0.0008459126528049375,1.0691280364990234,496
1258.0,0.00038235061219893396,-2.3529127777777776,45288,36,-36.83546447753906,45187,30,-76.12373352050781,0.0008459126528049375,2.6351513862609863,659
1258.0,0.0001867632963694632,-2.3039004,50320,40,86.73780059814453,50219,30,-73.544921875,0.0008459126528049375,0.9506876468658447,10
1258.0,0.00027511396910995245,-2.2548777045454544,55352,44,10.627806663513184,55251,30,-68.98306274414062,0.0008459126528049375,1.137018084526062,173
1258.0,0.0004179130482953042,-2.2286453958333334,60384,48,63.51494216918945,60283,30,-65.54804229736328,0.0008459126528049375,1.2883206605911255,336
1258.0,0.0002257221203763038,-2.1899660961538463,65416,52,-45.31635284423828,65315,30,-59.53644943237305,0.0008459126528049375,2.125767946243286,500
1258.0,0.00036011601332575083,-2.161788571428571,70448,56,84.23968505859375,70347,30,-56.89395523071289,0.0008459126528049375,1.548501968383789,667
1258.0,0.0004081721417605877,-2.1220096,75480,60,-90.5106201171875,75379,29,-54.2227668762207,0.0008459126528049375,2.1444342136383057,16
1258.0,0.0002821459202095866,-2.08557459375,80512,64,-15.69926929473877,80411,28,-50.49664306640625,0.0008459126528049375,1.2774951457977295,192
1258.0,0.0010101298103109002,-2.0594583088235296,85544,68,-21.82090950012207,85443,28,-46.674530029296875,0.0008459126528049375,8.913958549499512,370
1258.0,0.00047710692160762846,-2.0444254444444443,90576,72,7.109535217285156,90475,28,-42.968162536621094,0.0008459126528049375,1.437950611114502,549
1258.0,0.0005508416797965765,-2.024835210526316,95608,76,11.551313400268555,95507,28,-33.737098693847656,0.0008459126528049375,10.003658294677734,725
