train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps
4931,-122.35150909423828,0.0008459126528049375,1.188722848892212,-169.35723876953125,0.017221102491021156,4,71,1258.0,-5.14253475,5032,70
9963,-126.81365203857422,0.0008459126528049375,5.043018341064453,-44.67727279663086,0.0010329301003366709,8,143,1258.0,-4.172815625,10064,69
14995,-126.71858215332031,0.0008459126528049375,3.1966352462768555,43.95092010498047,0.0005801179795525968,12,216,1258.0,-3.500010416666667,15096,69
20027,-128.1874542236328,0.0008459126528049375,2.969057559967041,6.515343189239502,0.000725842488463968,16,290,1258.0,-3.1553190625000003,20128,69
25059,-117.27291107177734,0.0008459126528049375,5.163601875305176,59.355106353759766,0.0010575206251814961,20,2,1258.0,-2.9374265500000005,25160,69
30091,-104.1536865234375,0.0008459126528049375,2.692868232727051,63.553321838378906,0.0004729313077405095,24,76,1258.0,-2.762157583333334,30192,68
35123,-93.33946990966797,0.0008459126528049375,17.565998077392578,232.78558349609375,0.000917819095775485,28,149,1258.0,-2.659596750000001,35224,68
40155,-84.05779266357422,0.0008459126528049375,6.810239791870117,-15.53107738494873,0.0005281014018692076,32,222,1258.0,-2.55390715625,40256,68
45187,-75.88175201416016,0.0008459126528049375,4.063448905944824,-51.7301139831543,0.0004237527900841087,36,295,1258.0,-2.4898029444444445,45288,68
50219,-69.55349731445312,0.0008459126528049375,2.3991825580596924,-17.300813674926758,0.0004767373902723193,40,4,1258.0,-2.436767,50320,68
55251,-63.62535095214844,0.0008459126528049375,3.3039822578430176,-68.46833801269531,0.00026815597084350884,44,77,1258.0,-2.3901249318181823,55352,68
60283,-54.14485549926758,0.0008459126528049375,8.110499382019043,-37.83326721191406,0.00035020822542719543,48,150,1258.0,-2.3397989999999997,60384,68
65315,-50.49077224731445,0.0008459126528049375,3.4320430755615234,-80.01962280273438,0.00035262154415249825,52,223,1258.0,-2.3069344423076923,65416,68
70347,-44.797611236572266,0.0008459126528049375,0.9891762137413025,-20.098243713378906,0.00032792455749586225,56,297,1258.0,-2.280629964285714,70448,68
75379,-34.99089813232422,0.0008459126528049375,3.004026412963867,24.22953987121582,0.00032337085576727986,60,7,1258.0,-2.2590340166666665,75480,66
80411,-37.275596618652344,0.0008459126528049375,2.4674911499023438,-10.92381477355957,0.0004914519377052784,64,84,1258.0,-2.2250439531249997,80512,65
85443,-28.182838439941406,0.0008459126528049375,2.7605252265930176,-4.747648239135742,0.00041026665712706745,68,145,1258.0,-2.2219941470588234,85544,72
