rollout/ep_rew_mean,train/ent_coef_loss,time/fps,train/critic_loss,train/n_updates,rollout/ep_len_mean,train/actor_loss,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/ent_coef
-5.62399075,-171.44232177734375,10,3.182323455810547,4931,1258.0,-121.66444396972656,4,489,5032,0.0008459126528049375,0.017317859455943108
-4.609011625,17.725101470947266,10,6.473477363586426,9963,1258.0,-128.29246520996094,8,998,10064,0.0008459126528049375,0.0010490588610991836
-3.878244083333333,282.185302734375,10,11.543448448181152,14995,1258.0,-119.70220184326172,12,1495,15096,0.0008459126528049375,0.0010976488701999187
-3.476135375,88.76435852050781,10,6.234041213989258,20027,1258.0,-110.27976989746094,16,1989,20128,0.0008459126528049375,0.0007183466805145144
-3.1895525,-7.335659503936768,9,5.936371803283691,25059,1258.0,-105.31432342529297,20,16,25160,0.0008459126528049375,0.001028371974825859
-3.0275258333333337,-46.10896301269531,10,4.344191551208496,30091,1258.0,-79.56820678710938,24,513,30192,0.0008459126528049375,0.0008402096573263407
-2.908500071428571,-40.55510711669922,10,7.079017639160156,35123,1258.0,-75.77681732177734,28,1009,35224,0.0008459126528049375,0.0008104944718070328
-2.8410580625,16.283571243286133,10,2.701298236846924,40155,1258.0,-61.67197036743164,32,1497,40256,0.0008459126528049375,0.00033580095623619854
-2.781348138888889,53.16912078857422,10,4.179435729980469,45187,1258.0,-47.42744827270508,36,1994,45288,0.0008459126528049375,0.000275307655101642
-2.7505677499999996,15.019768714904785,10,1.8703093528747559,50219,1258.0,-43.56583786010742,40,30,50320,0.0008459126528049375,0.00021645838569384068
-2.689131386363636,-40.654998779296875,10,14.666280746459961,55251,1258.0,-37.842247009277344,44,523,55352,0.0008459126528049375,0.00039804569678381085
-2.6748305,-118.72219848632812,10,2.3576149940490723,60283,1258.0,-33.378238677978516,48,1011,60384,0.0008459126528049375,0.00037488341331481934
-2.626096365384615,-49.32102966308594,10,2.5082595348358154,65315,1258.0,-28.01776695251465,52,1506,65416,0.0008459126528049375,0.00036513368831947446
-2.6060262857142855,-36.43023681640625,10,1.2848459482192993,70347,1258.0,-22.516443252563477,56,1997,70448,0.0008459126528049375,0.00029283270123414695
-2.5634218166666667,-1.7606523036956787,9,2.209057331085205,75379,1258.0,-16.239816665649414,60,48,75480,0.0008459126528049375,0.0004129087319597602
-2.5404947187499998,-14.525086402893066,9,2.689218521118164,80411,1258.0,-8.75967025756836,64,564,80512,0.0008459126528049375,0.0003144055081065744
-2.523964264705882,-58.01301574707031,9,2.769235610961914,85443,1258.0,-2.0734012126922607,68,1094,85544,0.0008459126528049375,0.00024788666632957757
